state,county,race,gender,age,househd_size,num_child,num_elder,owner,pets,income,edu,evac
FL,santa rosa county,white or caucasian,male,63.0,2.0,0.0,0.0,own,no [skip to q108],,college graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,male,77.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",college graduate,"no, did not evacuate"
FL,bay county,white or caucasian,male,73.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",high school graduate,"no, did not evacuate"
FL,inland counties,african american or black,female,47.0,4.0,2.0,0.0,own,yes,"less than $15,000",some college,"no, did not evacuate"
FL,walton county,white or caucasian,male,70.0,2.0,0.0,0.0,own,yes,"$15,000 to $24,999",high school graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,female,54.0,3.0,0.0,1.0,own,no [skip to q108],"over $80,000",post graduate,"no, did not evacuate"
FL,walton county,white or caucasian,female,62.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",college graduate,"yes, evacuated"
FL,escambia county,white or caucasian,female,47.0,1.0,,,own,yes,"$25,000 to $39,999",post graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,male,61.0,2.0,0.0,0.0,own,yes,,some high school,"no, did not evacuate"
FL,monroe county,white or caucasian,female,54.0,2.0,0.0,0.0,own,yes,,college graduate,"no, did not evacuate"
FL,walton county,white or caucasian,female,,1.0,,,own,yes,,,"no, did not evacuate"
FL,bay county,white or caucasian,female,68.0,2.0,0.0,0.0,own,yes,,some college,"no, did not evacuate"
FL,monroe county,hispanic,male,60.0,1.0,,,own,yes,,some college,"no, did not evacuate"
FL,gulf county,white or caucasian,female,54.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",high school graduate,"yes, evacuated"
FL,gulf county,white or caucasian,female,57.0,6.0,2.0,0.0,own,yes,"over $80,000",post graduate,"no, did not evacuate"
FL,bay county,white or caucasian,male,42.0,2.0,1.0,0.0,own,yes,"$15,000 to $24,999",high school graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,31.0,2.0,1.0,0.0,own,no [skip to q108],"$15,000 to $24,999",some college,"yes, evacuated"
FL,santa rosa county,white or caucasian,male,51.0,5.0,1.0,0.0,own,yes,"over $80,000",post graduate,"yes, evacuated"
FL,monroe county,hispanic,female,41.0,5.0,3.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"yes, evacuated"
FL,okaloosa county,white or caucasian,female,52.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",post graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,71.0,3.0,0.0,0.0,own,yes,,college graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,67.0,2.0,0.0,0.0,own,yes,"over $80,000",high school graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,65.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",high school graduate,"yes, evacuated"
FL,walton county,white or caucasian,male,55.0,2.0,0.0,0.0,own,yes,"less than $15,000",high school graduate,"yes, evacuated"
FL,santa rosa county,white or caucasian,male,73.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",college graduate,"no, did not evacuate"
FL,escambia county,african american or black,male,43.0,6.0,3.0,0.0,own,yes,"$40,000 to $79,999",college graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,male,42.0,2.0,0.0,0.0,own,no [skip to q108],,post graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,67.0,2.0,0.0,0.0,own,yes,"over $80,000",college graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,68.0,1.0,,,own,no [skip to q108],,post graduate,"no, did not evacuate"
FL,bay county,white or caucasian,male,42.0,3.0,0.0,0.0,own,yes,,some college,"no, did not evacuate"
FL,bay county,white or caucasian,female,71.0,2.0,0.0,0.0,own,yes,,some college,"no, did not evacuate"
FL,inland counties,white or caucasian,male,65.0,2.0,0.0,0.0,own,yes,,high school graduate,"no, did not evacuate"
FL,franklin county,white or caucasian,male,44.0,4.0,2.0,0.0,own,yes,,high school graduate,"yes, evacuated"
FL,santa rosa county,white or caucasian,male,62.0,4.0,2.0,0.0,rent,yes,"$40,000 to $79,999",college graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,45.0,3.0,1.0,0.0,own,yes,"over $80,000",post graduate,"no, did not evacuate"
FL,bay county,white or caucasian,male,40.0,4.0,2.0,0.0,rent,no [skip to q108],"over $80,000",post graduate,"yes, evacuated"
FL,escambia county,white or caucasian,female,60.0,1.0,,,own,yes,"$25,000 to $39,999",some college,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,54.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",college graduate,"no, did not evacuate"
FL,monroe county,white or caucasian,female,33.0,7.0,3.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"yes, evacuated"
FL,inland counties,white or caucasian,female,58.0,5.0,2.0,0.0,own,yes,,high school graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,48.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,60.0,2.0,0.0,0.0,own,yes,,post graduate,"yes, evacuated"
FL,escambia county,white or caucasian,female,77.0,3.0,0.0,0.0,own,no [skip to q108],"less than $15,000",some high school,"yes, evacuated"
FL,walton county,white or caucasian,female,41.0,5.0,4.0,1.0,own,yes,"$15,000 to $24,999",high school graduate,"yes, evacuated"
FL,franklin county,white or caucasian,female,,2.0,0.0,0.0,own,yes,,some college,"yes, evacuated"
FL,bay county,,female,,,,,other,,,,"yes, evacuated"
FL,santa rosa county,white or caucasian,male,56.0,3.0,1.0,0.0,own,yes,"over $80,000",some high school,"no, did not evacuate"
FL,franklin county,white or caucasian,male,57.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,30.0,4.0,2.0,0.0,rent,yes,"$25,000 to $39,999",post graduate,"yes, evacuated"
FL,walton county,white or caucasian,male,45.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",some college,"no, did not evacuate"
FL,gulf county,white or caucasian,male,47.0,3.0,1.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,okaloosa county,hispanic,male,50.0,3.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"yes, evacuated"
FL,okaloosa county,white or caucasian,female,68.0,1.0,,,own,yes,,post graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,51.0,2.0,1.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"no, did not evacuate"
FL,inland counties,white or caucasian,female,64.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",some college,"no, did not evacuate"
FL,inland counties,white or caucasian,female,36.0,4.0,2.0,0.0,own,yes,"$25,000 to $39,999",some college,"no, did not evacuate"
FL,bay county,white or caucasian,female,57.0,2.0,0.0,0.0,own,yes,"less than $15,000",some college,"no, did not evacuate"
FL,escambia county,asian,female,38.0,4.0,2.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,inland counties,white or caucasian,female,64.0,1.0,,,own,yes,"less than $15,000",high school graduate,"no, did not evacuate"
FL,inland counties,white or caucasian,female,72.0,1.0,,,own,yes,"$15,000 to $24,999",high school graduate,"no, did not evacuate"
FL,inland counties,white or caucasian,female,83.0,1.0,,,own,no [skip to q108],,some high school,"yes, evacuated"
FL,monroe county,white or caucasian,female,22.0,2.0,0.0,0.0,rent,yes,"$25,000 to $39,999",some college,"yes, evacuated"
FL,inland counties,,female,80.0,1.0,,,own,no [skip to q108],,high school graduate,"no, did not evacuate"
FL,bay county,,male,66.0,2.0,0.0,0.0,own,no [skip to q108],,,"no, did not evacuate"
FL,inland counties,white or caucasian,female,65.0,2.0,0.0,0.0,own,no [skip to q108],"$15,000 to $24,999",college graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,43.0,3.0,1.0,0.0,own,yes,"over $80,000",high school graduate,"no, did not evacuate"
FL,gulf county,,female,,,,,other,,,,"yes, evacuated"
FL,bay county,white or caucasian,male,69.0,2.0,0.0,0.0,own,yes,,college graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,male,58.0,4.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,gulf county,white or caucasian,male,62.0,2.0,0.0,0.0,own,yes,"$15,000 to $24,999",some college,"no, did not evacuate"
FL,walton county,white or caucasian,male,34.0,4.0,2.0,0.0,rent,yes,"over $80,000",post graduate,"yes, evacuated"
FL,inland counties,white or caucasian,female,61.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",high school graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,56.0,1.0,,,own,yes,"$25,000 to $39,999",college graduate,"no, did not evacuate"
FL,monroe county,white or caucasian,male,66.0,2.0,0.0,0.0,other,no [skip to q108],"over $80,000",some college,"yes, evacuated"
FL,bay county,white or caucasian,male,58.0,2.0,0.0,0.0,rent,yes,"over $80,000",some college,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,24.0,2.0,0.0,0.0,own,yes,,high school graduate,"no, did not evacuate"
FL,walton county,white or caucasian,female,58.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,58.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",high school graduate,"no, did not evacuate"
FL,inland counties,white or caucasian,male,23.0,3.0,1.0,0.0,own,no [skip to q108],"$25,000 to $39,999",,"yes, evacuated"
FL,walton county,white or caucasian,female,56.0,1.0,,,rent,no [skip to q108],"$15,000 to $24,999",some high school,"yes, evacuated"
FL,inland counties,white or caucasian,male,55.0,2.0,0.0,0.0,own,no [skip to q108],,high school graduate,"no, did not evacuate"
FL,bay county,white or caucasian,female,48.0,6.0,2.0,0.0,own,yes,"$25,000 to $39,999",some college,"no, did not evacuate"
FL,inland counties,white or caucasian,female,48.0,4.0,1.0,0.0,rent,no [skip to q108],"$15,000 to $24,999",some high school,"yes, evacuated"
FL,walton county,white or caucasian,female,47.0,3.0,0.0,0.0,own,yes,"over $80,000",some college,"yes, evacuated"
FL,escambia county,white or caucasian,female,45.0,3.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,gulf county,white or caucasian,female,60.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",college graduate,"yes, evacuated"
FL,santa rosa county,other,female,,4.0,2.0,0.0,own,yes,"$25,000 to $39,999",some college,"no, did not evacuate"
FL,escambia county,white or caucasian,male,70.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",college graduate,"no, did not evacuate"
FL,bay county,american indian,female,25.0,7.0,5.0,0.0,own,yes,"less than $15,000",some college,"no, did not evacuate"
FL,walton county,white or caucasian,female,48.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",high school graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,60.0,4.0,1.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,bay county,white or caucasian,male,41.0,4.0,1.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,61.0,3.0,0.0,0.0,own,yes,,college graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,female,38.0,3.0,1.0,0.0,own,yes,"$25,000 to $39,999",high school graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,male,65.0,2.0,0.0,0.0,rent,no [skip to q108],"$25,000 to $39,999",college graduate,"yes, evacuated"
FL,okaloosa county,american indian,female,,3.0,0.0,0.0,own,yes,"$15,000 to $24,999",some college,"no, did not evacuate"
FL,bay county,white or caucasian,male,43.0,4.0,2.0,0.0,own,no [skip to q108],"over $80,000",college graduate,"yes, evacuated"
FL,monroe county,white or caucasian,female,51.0,3.0,0.0,0.0,own,yes,"over $80,000",post graduate,"no, did not evacuate"
FL,franklin county,white or caucasian,male,,4.0,2.0,0.0,own,yes,"$25,000 to $39,999",high school graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,male,76.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"no, did not evacuate"
FL,bay county,white or caucasian,female,76.0,1.0,,,rent,no [skip to q108],,college graduate,"no, did not evacuate"
FL,bay county,other,male,58.0,3.0,0.0,1.0,own,yes,,high school graduate,"no, did not evacuate"
FL,walton county,white or caucasian,female,50.0,5.0,3.0,0.0,own,yes,"$40,000 to $79,999",college graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,male,73.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,,4.0,0.0,0.0,own,yes,,some college,"no, did not evacuate"
FL,okaloosa county,white or caucasian,female,77.0,1.0,,,own,no [skip to q108],"over $80,000",some college,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,53.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",post graduate,"yes, evacuated"
FL,okaloosa county,white or caucasian,female,40.0,1.0,,,own,yes,"$40,000 to $79,999",college graduate,"no, did not evacuate"
FL,walton county,white or caucasian,male,45.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,47.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",some college,"no, did not evacuate"
FL,bay county,white or caucasian,female,53.0,2.0,0.0,0.0,own,yes,,some college,"no, did not evacuate"
FL,bay county,white or caucasian,female,65.0,6.0,0.0,0.0,own,yes,"$15,000 to $24,999",high school graduate,"no, did not evacuate"
FL,walton county,white or caucasian,male,73.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,female,44.0,5.0,3.0,0.0,own,yes,"over $80,000",some college,"yes, evacuated"
FL,escambia county,,female,33.0,3.0,1.0,0.0,own,no [skip to q108],"$40,000 to $79,999",college graduate,"yes, evacuated"
FL,santa rosa county,white or caucasian,female,54.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",college graduate,"yes, evacuated"
FL,escambia county,white or caucasian,female,86.0,1.0,,,own,yes,"less than $15,000",high school graduate,"yes, evacuated"
FL,bay county,white or caucasian,male,62.0,1.0,,,rent,no [skip to q108],"over $80,000",post graduate,"yes, evacuated"
FL,santa rosa county,white or caucasian,female,59.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",some college,"yes, evacuated"
FL,bay county,white or caucasian,male,41.0,2.0,0.0,1.0,own,no [skip to q108],"$15,000 to $24,999",some college,"no, did not evacuate"
FL,monroe county,white or caucasian,female,46.0,2.0,1.0,0.0,own,yes,,college graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,56.0,3.0,0.0,1.0,own,no [skip to q108],,some college,"no, did not evacuate"
FL,walton county,white or caucasian,female,74.0,1.0,,,own,yes,"$15,000 to $24,999",post graduate,"yes, evacuated"
FL,escambia county,white or caucasian,male,50.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,55.0,2.0,1.0,0.0,own,yes,"$40,000 to $79,999",some college,"yes, evacuated"
FL,gulf county,white or caucasian,male,77.0,3.0,0.0,0.0,own,no [skip to q108],"less than $15,000",some high school,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,67.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"yes, evacuated"
FL,bay county,white or caucasian,female,45.0,3.0,0.0,0.0,own,yes,"less than $15,000",high school graduate,"no, did not evacuate"
FL,bay county,white or caucasian,male,63.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,okaloosa county,,male,71.0,2.0,0.0,0.0,own,no [skip to q108],,college graduate,"no, did not evacuate"
FL,walton county,white or caucasian,female,59.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",high school graduate,"yes, evacuated"
FL,franklin county,white or caucasian,female,62.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"yes, evacuated"
FL,bay county,white or caucasian,female,69.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",high school graduate,"no, did not evacuate"
FL,franklin county,,female,,,,,own,yes,,high school graduate,"no, did not evacuate"
FL,walton county,white or caucasian,female,53.0,2.0,1.0,0.0,own,yes,"over $80,000",some college,"yes, evacuated"
FL,bay county,white or caucasian,male,40.0,4.0,2.0,0.0,rent,no [skip to q108],"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,okaloosa county,american indian,male,68.0,3.0,0.0,0.0,own,yes,"$40,000 to $79,999",post graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,29.0,4.0,2.0,0.0,own,yes,"over $80,000",post graduate,"yes, evacuated"
FL,bay county,white or caucasian,female,58.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",college graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,female,71.0,1.0,,,own,no [skip to q108],,high school graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,male,54.0,3.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,69.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",post graduate,"yes, evacuated"
FL,gulf county,white or caucasian,female,53.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"yes, evacuated"
FL,walton county,african american or black,male,48.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",some college,"no, did not evacuate"
FL,escambia county,white or caucasian,male,48.0,5.0,2.0,0.0,own,no [skip to q108],"over $80,000",post graduate,"no, did not evacuate"
FL,walton county,white or caucasian,female,40.0,3.0,2.0,0.0,own,yes,"$15,000 to $24,999",college graduate,"yes, evacuated"
FL,bay county,white or caucasian,male,65.0,2.0,0.0,0.0,own,no [skip to q108],,college graduate,"no, did not evacuate"
FL,inland counties,white or caucasian,female,41.0,4.0,0.0,2.0,own,yes,"$25,000 to $39,999",some college,"yes, evacuated"
FL,escambia county,white or caucasian,male,63.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"yes, evacuated"
FL,gulf county,white or caucasian,male,56.0,3.0,0.0,0.0,own,yes,"$15,000 to $24,999",some high school,"no, did not evacuate"
FL,franklin county,white or caucasian,female,,1.0,,,own,no [skip to q108],"$25,000 to $39,999",some college,"yes, evacuated"
FL,santa rosa county,white or caucasian,male,61.0,1.0,,,own,no [skip to q108],"$40,000 to $79,999",post graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,,1.0,,,own,no [skip to q108],"$40,000 to $79,999",post graduate,"yes, evacuated"
FL,escambia county,white or caucasian,female,26.0,4.0,2.0,0.0,own,no [skip to q108],"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,bay county,hispanic,male,26.0,1.0,,,rent,no [skip to q108],,college graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,female,45.0,4.0,2.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"yes, evacuated"
FL,walton county,white or caucasian,male,28.0,2.0,0.0,0.0,own,yes,,college graduate,"yes, evacuated"
FL,walton county,white or caucasian,female,36.0,2.0,0.0,0.0,own,yes,,,"yes, evacuated"
FL,bay county,white or caucasian,male,49.0,4.0,0.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,50.0,2.0,0.0,0.0,own,yes,,high school graduate,"no, did not evacuate"
FL,walton county,white or caucasian,male,51.0,2.0,0.0,0.0,own,yes,,some college,"yes, evacuated"
FL,gulf county,white or caucasian,male,64.0,1.0,,,own,yes,"$15,000 to $24,999",some college,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,38.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,okaloosa county,other,female,31.0,6.0,4.0,0.0,rent,no [skip to q108],"$25,000 to $39,999",some college,"yes, evacuated"
FL,okaloosa county,white or caucasian,male,42.0,4.0,2.0,0.0,rent,no [skip to q108],,college graduate,"yes, evacuated"
FL,bay county,white or caucasian,male,72.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some high school,"no, did not evacuate"
FL,okaloosa county,white or caucasian,female,30.0,2.0,0.0,0.0,rent,no [skip to q108],"$40,000 to $79,999",college graduate,"yes, evacuated"
FL,inland counties,white or caucasian,male,36.0,4.0,2.0,0.0,own,yes,"$25,000 to $39,999",high school graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,female,83.0,2.0,0.0,2.0,own,no [skip to q108],"$40,000 to $79,999",some college,"no, did not evacuate"
FL,bay county,white or caucasian,male,,,,,own,no [skip to q108],,college graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,male,64.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",post graduate,"yes, evacuated"
FL,gulf county,white or caucasian,female,81.0,2.0,0.0,1.0,own,yes,"$15,000 to $24,999",some college,"no, did not evacuate"
FL,gulf county,white or caucasian,male,51.0,3.0,1.0,0.0,own,yes,"over $80,000",some college,"no, did not evacuate"
FL,gulf county,white or caucasian,male,71.0,1.0,,,own,no [skip to q108],,high school graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,male,49.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",some college,"yes, evacuated"
FL,santa rosa county,white or caucasian,female,49.0,2.0,0.0,0.0,own,yes,,college graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,male,68.0,,,,own,,,,"no, did not evacuate"
FL,bay county,white or caucasian,female,52.0,2.0,0.0,0.0,own,yes,"$15,000 to $24,999",high school graduate,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,27.0,4.0,3.0,0.0,rent,no [skip to q108],"$25,000 to $39,999",high school graduate,"yes, evacuated"
FL,inland counties,white or caucasian,female,41.0,3.0,0.0,1.0,own,yes,"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,monroe county,white or caucasian,female,63.0,2.0,0.0,0.0,own,no [skip to q108],"over $80,000",college graduate,"yes, evacuated"
FL,walton county,white or caucasian,male,70.0,2.0,0.0,0.0,own,no [skip to q108],,some college,"yes, evacuated"
