index,state,county,no_01,no_02,no_03,no_other,yes_01,yes_02,yes_03,yes_other,evac
42,FL,gulf county,,,,,advice or order by elected officials,advice or order by public safety officials,advice from national weather service,,"yes, evacuated"
43,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
44,FL,franklin county,5,,,,,,,,"no, did not evacuate"
45,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
46,FL,escambia county,15,,,,,,,,"no, did not evacuate"
47,FL,bay county,1,,,,,,,,"no, did not evacuate"
48,FL,inland counties,19,,,,,,,,"no, did not evacuate"
49,FL,walton county,6,,,,,,,,"no, did not evacuate"
50,FL,okaloosa county,26,had no place to go,,,,,,,"no, did not evacuate"
51,FL,walton county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
52,FL,escambia county,24,,,,,,,,"no, did not evacuate"
53,FL,escambia county,24,,,,,,,,"no, did not evacuate"
54,FL,monroe county,12,,,,,,,,"no, did not evacuate"
55,FL,walton county,24,,,,,,,,"no, did not evacuate"
56,FL,bay county,17,officials seemed unsure whether evacuation was necessary,house is well built (strong enough to be safe in storm),,,,,,"no, did not evacuate"
57,FL,monroe county,6,,,,,,,,"no, did not evacuate"
58,FL,gulf county,,,,,concerned about possible tornados,,,,"yes, evacuated"
59,FL,gulf county,1,,,,,,,,"no, did not evacuate"
60,FL,bay county,6,,,,,,,,"no, did not evacuate"
61,FL,santa rosa county,,,,,loss of utilities--family member with special needs,,,,"yes, evacuated"
62,FL,santa rosa county,,,,,experience in other storms,,,,"yes, evacuated"
63,FL,monroe county,,,,,advice or order by elected officials,forecast indicated storm would hit,,,"yes, evacuated"
64,FL,okaloosa county,29,,,FIRST HURRICANE AND WANTED TO STAY HOME,,,,,"no, did not evacuate"
65,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
66,FL,okaloosa county,4,,,,,,,,"no, did not evacuate"
67,FL,santa rosa county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
68,FL,walton county,,,,,concerned storm would cause home to flood,concerned strong winds would make house unsafe,concerned flooding would cut off roads ,,"yes, evacuated"
69,FL,santa rosa county,16,,,,,,,,"no, did not evacuate"
70,FL,escambia county,29,,,WANTED TO STAY HOME,,,,,"no, did not evacuate"
71,FL,escambia county,29,,,UNDER MEDICATION,,,,,"no, did not evacuate"
72,FL,okaloosa county,17,,,,,,,,"no, did not evacuate"
73,FL,okaloosa county,17,,,,,,,,"no, did not evacuate"
74,FL,bay county,18,,,,,,,,"no, did not evacuate"
75,FL,bay county,12,,,,,,,,"no, did not evacuate"
76,FL,inland counties,5,,,,,,,,"no, did not evacuate"
77,FL,franklin county,,,,,advice from friend or relative,,,,"yes, evacuated"
78,FL,santa rosa county,21,job required staying,,,,,,,"no, did not evacuate"
79,FL,santa rosa county,29,,,THOUGHT THEY WERE READY,,,,,"no, did not evacuate"
80,FL,bay county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
81,FL,escambia county,7,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
82,FL,santa rosa county,4,,,,,,,,"no, did not evacuate"
83,FL,monroe county,,,,,"other, specify",,,GOT BORED OF WAITING,"yes, evacuated"
84,FL,inland counties,17,,,,,,,,"no, did not evacuate"
85,FL,okaloosa county,16,,,,,,,,"no, did not evacuate"
86,FL,okaloosa county,,,,,"other, specify",information about the severity of the storm,experience in other storms,I USE MY OWN METHODS OF TRACKING STORMS USING VARIOUS SOURCES OF INFORMATIO,"yes, evacuated"
87,FL,escambia county,,,,,advice from national weather service,,,,"yes, evacuated"
88,FL,walton county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
89,FL,franklin county,,,,,concerned storm would cause home to flood,probability (odds) were high that the storm could hit,national weather service issued hurricane watch,,"yes, evacuated"
90,FL,bay county,,,,,concerned that storm might hit,,,,"yes, evacuated"
91,FL,santa rosa county,1,,,,,,,,"no, did not evacuate"
92,FL,franklin county,18,,,,,,,,"no, did not evacuate"
93,FL,okaloosa county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
94,FL,walton county,29,,,BECAUSE I'VE ALWAYS STAYED; IF IT'S GONNA GET YA UT'S GONNA GET YA,,,,,"no, did not evacuate"
95,FL,gulf county,6,home is elevated above the level of storm surge,location was on the weak (left) side of the storm,,,,,,"no, did not evacuate"
96,FL,okaloosa county,,,,,concerned strong winds would make house unsafe,concerned that storm might hit,,,"yes, evacuated"
97,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
98,FL,okaloosa county,12,,,,,,,,"no, did not evacuate"
99,FL,inland counties,8,,,,,,,,"no, did not evacuate"
100,FL,inland counties,6,,,,,,,,"no, did not evacuate"
101,FL,bay county,5,no place to take pets/shelter would not accept pets,,,,,,,"no, did not evacuate"
102,FL,escambia county,18,,,,,,,,"no, did not evacuate"
103,FL,inland counties,6,no place to take pets/shelter would not accept pets,"other, specify:____",HAD FRIENDS OVER,,,,,"no, did not evacuate"
104,FL,inland counties,29,,,I JUST FELT I DIDNT NEED TO,,,,,"no, did not evacuate"
105,FL,inland counties,,,,,"other, specify",,,HAD FAMILY IN THE REHAB CENTER,"yes, evacuated"
106,FL,monroe county,,,,,"other, specify",,,NAVY,"yes, evacuated"
107,FL,inland counties,1,,,,,,,,"no, did not evacuate"
108,FL,bay county,19,,,,,,,,"no, did not evacuate"
109,FL,inland counties,6,,,,,,,,"no, did not evacuate"
110,FL,okaloosa county,1,,,,,,,,"no, did not evacuate"
111,FL,gulf county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
112,FL,bay county,14,,,,,,,,"no, did not evacuate"
113,FL,escambia county,29,,,DONT LIVE NEAR WATER,,,,,"no, did not evacuate"
114,FL,gulf county,4,,,,,,,,"no, did not evacuate"
115,FL,walton county,,,,,advice from friend or relative,,,,"yes, evacuated"
116,FL,inland counties,6,,,,,,,,"no, did not evacuate"
117,FL,santa rosa county,19,,,,,,,,"no, did not evacuate"
118,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
119,FL,bay county,6,,,,,,,,"no, did not evacuate"
120,FL,santa rosa county,28,,,,,,,,"no, did not evacuate"
121,FL,walton county,29,,,I JUST CHOSE TO STAYHOME,,,,,"no, did not evacuate"
122,FL,santa rosa county,11,,,,,,,,"no, did not evacuate"
123,FL,inland counties,,,,,"other, specify",,,WIFE,"yes, evacuated"
124,FL,walton county,,,,,advice or order by elected officials,,,,"yes, evacuated"
125,FL,inland counties,6,,,,,,,,"no, did not evacuate"
126,FL,bay county,1,,,,,,,,"no, did not evacuate"
127,FL,inland counties,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
128,FL,walton county,,,,,advice or order by elected officials,concerned strong winds would make house unsafe,forecast indicated storm would hit,,"yes, evacuated"
129,FL,escambia county,15,,,,,,,,"no, did not evacuate"
130,FL,gulf county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
131,FL,santa rosa county,24,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
132,FL,escambia county,6,unable to re-enter area after evacuating in past storms,,,,,,,"no, did not evacuate"
133,FL,bay county,4,forecast said storm would hit a different location,,,,,,,"no, did not evacuate"
134,FL,walton county,13,,,,,,,,"no, did not evacuate"
135,FL,santa rosa county,17,,,,,,,,"no, did not evacuate"
136,FL,bay county,21,forecast said storm would hit a different location,,,,,,,"no, did not evacuate"
137,FL,santa rosa county,16,,,,,,,,"no, did not evacuate"
138,FL,gulf county,5,,,,,,,,"no, did not evacuate"
139,FL,escambia county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
140,FL,okaloosa county,24,,,,,,,,"no, did not evacuate"
141,FL,bay county,,,,,"other, specify",,,THE THREAT OF THE HURRICANE,"yes, evacuated"
142,FL,monroe county,18,,,,,,,,"no, did not evacuate"
143,FL,franklin county,7,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
144,FL,gulf county,7,,,,,,,,"no, did not evacuate"
145,FL,bay county,29,,,"HAS STAYED IN AREA B4, DECIDED TO STAY ONE MORE TIME",,,,,"no, did not evacuate"
146,FL,bay county,17,,,,,,,,"no, did not evacuate"
147,FL,walton county,12,,,,,,,,"no, did not evacuate"
148,FL,gulf county,1,,,,,,,,"no, did not evacuate"
149,FL,santa rosa county,12,,,,,,,,"no, did not evacuate"
150,FL,okaloosa county,1,,,,,,,,"no, did not evacuate"
151,FL,santa rosa county,,,,,advice or order by public safety officials,concerned storm would cause home to flood,,,"yes, evacuated"
152,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
153,FL,walton county,4,,,,,,,,"no, did not evacuate"
154,FL,santa rosa county,30,,,,,,,,"no, did not evacuate"
155,FL,bay county,29,,,PERSONAL DECISION,,,,,"no, did not evacuate"
156,FL,bay county,6,,,,,,,,"no, did not evacuate"
157,FL,walton county,17,,,,,,,,"no, did not evacuate"
158,FL,gulf county,,,,,"other, specify",information about the severity of the storm,,THE LANDFALL,"yes, evacuated"
159,FL,escambia county,,,,,advice or order by elected officials,,,,"yes, evacuated"
160,FL,santa rosa county,,,,,national weather service issued hurricane warning,advice or order by elected officials,advice from friend or relative,,"yes, evacuated"
161,FL,escambia county,,,,,advice from friend or relative,advice from national weather service,,,"yes, evacuated"
162,FL,bay county,,,,,information about the severity of the storm,concerned about possible tornados,,,"yes, evacuated"
163,FL,santa rosa county,,,,,"other, specify",,,HAD RV AND WANTED TO GET OUT,"yes, evacuated"
164,FL,bay county,4,,,,,,,,"no, did not evacuate"
165,FL,monroe county,29,,,DID NOT FEEL LIKE I NEEDED TO.,,,,,"no, did not evacuate"
166,FL,okaloosa county,29,,,STAYING WITH THREE HOUSES,,,,,"no, did not evacuate"
167,FL,walton county,,,,,advice from the media,advice from national weather service,,,"yes, evacuated"
168,FL,escambia county,6,,,,,,,,"no, did not evacuate"
169,FL,santa rosa county,,,,,advice from the media,,,,"yes, evacuated"
170,FL,gulf county,4,had no place to go,house is well built (strong enough to be safe in storm),,,,,,"no, did not evacuate"
171,FL,santa rosa county,,,,,national weather service issued hurricane watch,,,,"yes, evacuated"
172,FL,bay county,7,,,,,,,,"no, did not evacuate"
173,FL,bay county,4,,,,,,,,"no, did not evacuate"
174,FL,okaloosa county,29,,,PERSONAL,,,,,"no, did not evacuate"
175,FL,walton county,,,,,"other, specify",,,TO BE WITH SOME ONE ELSE.,"yes, evacuated"
176,FL,franklin county,,,,,probability (odds) were high that the storm could hit,"other, specify",,THE BRIDGE CLOSES,"yes, evacuated"
177,FL,bay county,6,,,,,,,,"no, did not evacuate"
178,FL,franklin county,16,,,,,,,,"no, did not evacuate"
179,FL,walton county,,,,,advice or order by elected officials,advice or order by public safety officials,advice from national weather service,,"yes, evacuated"
180,FL,bay county,6,job required staying,,,,,,,"no, did not evacuate"
181,FL,okaloosa county,21,conflicting official messages if evacuation was necessary,,,,,,,"no, did not evacuate"
182,FL,santa rosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
183,FL,bay county,17,,,,,,,,"no, did not evacuate"
184,FL,escambia county,29,,,"FAMILY STAYED DURING PREV STORMS, DECIDED TO STAY ALSO",,,,,"no, did not evacuate"
185,FL,escambia county,25,,,,,,,,"no, did not evacuate"
186,FL,okaloosa county,,,,,concerned strong winds would make house unsafe,"other, specify",,CAUSE I LIVE ON THE COAST,"yes, evacuated"
187,FL,gulf county,,,,,"other, specify",,,TO TAKE CARE OF MY MOM,"yes, evacuated"
188,FL,walton county,6,,,,,,,,"no, did not evacuate"
189,FL,escambia county,28,,,,,,,,"no, did not evacuate"
190,FL,walton county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
191,FL,bay county,1,,,,,,,,"no, did not evacuate"
192,FL,inland counties,,,,,advice from national weather service,,,,"yes, evacuated"
193,FL,escambia county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
194,FL,gulf county,3,,,,,,,,"no, did not evacuate"
195,FL,franklin county,,,,,information about the severity of the storm,,,,"yes, evacuated"
196,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
197,FL,santa rosa county,,,,,"other, specify",,,MY SISTER HAD A HEART CONDITION AND FELT SHE COULN'T STAY,"yes, evacuated"
198,FL,escambia county,19,,,,,,,,"no, did not evacuate"
199,FL,bay county,29,,,WAS NOT AUTHORIZED TO,,,,,"no, did not evacuate"
200,FL,okaloosa county,,,,,experience in other storms,concerned storm would cause home to flood,information about the severity of the storm,,"yes, evacuated"
201,FL,walton county,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
202,FL,walton county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
203,FL,bay county,10,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
204,FL,santa rosa county,21,,,,,,,,"no, did not evacuate"
205,FL,walton county,,,,,"other, specify",,,"LIVE ON THE COAST, WENT TO STAYIN A BRICK HOUSE","yes, evacuated"
206,FL,gulf county,14,,,,,,,,"no, did not evacuate"
207,FL,okaloosa county,1,,,,,,,,"no, did not evacuate"
208,FL,okaloosa county,,,,,advice from national weather service,,,,"yes, evacuated"
209,FL,okaloosa county,,,,,national weather service issued hurricane warning,forecast indicated storm would hit,forecast indicated storm could hit,,"yes, evacuated"
210,FL,bay county,6,,,,,,,,"no, did not evacuate"
211,FL,okaloosa county,,,,,don't know,,,,"yes, evacuated"
212,FL,inland counties,1,,,,,,,,"no, did not evacuate"
213,FL,escambia county,7,,,,,,,,"no, did not evacuate"
214,FL,bay county,6,,,,,,,,"no, did not evacuate"
215,FL,santa rosa county,,,,,advice from the media,,,,"yes, evacuated"
216,FL,gulf county,6,,,,,,,,"no, did not evacuate"
217,FL,gulf county,12,other information indicated storm wouldn't hit,,,,,,,"no, did not evacuate"
218,FL,gulf county,6,,,,,,,,"no, did not evacuate"
219,FL,gulf county,,,,,"other, specify",,,CONCERNED ABOUT MOTHER,"yes, evacuated"
220,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
221,FL,gulf county,28,,,,,,,,"no, did not evacuate"
222,FL,bay county,30,,,,,,,,"no, did not evacuate"
223,FL,okaloosa county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
224,FL,inland counties,13,,,,,,,,"no, did not evacuate"
225,FL,monroe county,,,,,national weather service issued hurricane warning,,,,"yes, evacuated"
226,FL,walton county,,,,,concerned strong winds would make house unsafe,concerned about possible tornados,,,"yes, evacuated"
227,FL,monroe county,1,other information indicated storm wouldn't hit,,,,,,,"no, did not evacuate"
228,FL,okaloosa county,29,,,HAD TO STAY IN TOWN,,,,,"no, did not evacuate"
229,FL,franklin county,12,location was on the weak (left) side of the storm,,,,,,,"no, did not evacuate"
230,FL,escambia county,21,,,,,,,,"no, did not evacuate"
231,FL,santa rosa county,19,,,,,,,,"no, did not evacuate"
232,FL,inland counties,,,,,"other, specify",,,MY GRANDMOTHER,"yes, evacuated"
233,FL,gulf county,4,,,,,,,,"no, did not evacuate"
234,FL,gulf county,6,,,,,,,,"no, did not evacuate"
235,FL,santa rosa county,27,,,,,,,,"no, did not evacuate"
236,FL,bay county,29,,,JUST DIDNT FEEL IT WAS NECESARY,,,,,"no, did not evacuate"
237,FL,gulf county,,,,,national weather service issued hurricane warning,,,,"yes, evacuated"
238,FL,escambia county,28,,,,,,,,"no, did not evacuate"
239,FL,walton county,,,,,"other, specify",,,MY SON TOLD ME IF SOMETHING HAPPENED TO HIS MOMMA I WOULD BE WHOOPING.,"yes, evacuated"
240,FL,franklin county,4,,,,,,,,"no, did not evacuate"
241,FL,gulf county,,,,,"other, specify",,,CAUSE I LIVE IN A TRAILER AND IT WAS NOT SAFE,"yes, evacuated"
242,FL,gulf county,6,,,,,,,,"no, did not evacuate"
243,FL,santa rosa county,,,,,"other, specify",,,TO HELP PEOPLE,"yes, evacuated"
244,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
245,FL,walton county,4,,,,,,,,"no, did not evacuate"
246,FL,escambia county,13,,,,,,,,"no, did not evacuate"
247,FL,walton county,6,,,,,,,,"no, did not evacuate"
248,FL,monroe county,29,,,WE JUST DON'T EVACUATE,,,,,"no, did not evacuate"
249,FL,monroe county,6,,,,,,,,"no, did not evacuate"
250,FL,bay county,6,,,,,,,,"no, did not evacuate"
251,FL,okaloosa county,21,,,,,,,,"no, did not evacuate"
252,FL,santa rosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
253,FL,escambia county,14,,,,,,,,"no, did not evacuate"
254,FL,franklin county,6,,,,,,,,"no, did not evacuate"
255,FL,okaloosa county,21,,,,,,,,"no, did not evacuate"
256,FL,okaloosa county,,,,,advice from national weather service,,,,"yes, evacuated"
257,FL,santa rosa county,,,,,concerned that storm might hit,,,,"yes, evacuated"
258,FL,santa rosa county,1,,,,,,,,"no, did not evacuate"
259,FL,gulf county,,,,,"other, specify",,,CHILDREN DIDNT WANT ME HEREALONE,"yes, evacuated"
260,FL,inland counties,29,,,GOD-ALMIGHTY LOOKS AFTER ME.,,,,,"no, did not evacuate"
261,FL,bay county,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
262,FL,bay county,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
263,FL,inland counties,4,,,,,,,,"no, did not evacuate"
264,FL,inland counties,4,,,,,,,,"no, did not evacuate"
265,FL,escambia county,6,,,,,,,,"no, did not evacuate"
266,FL,okaloosa county,21,,,,,,,,"no, did not evacuate"
267,FL,okaloosa county,23,,,,,,,,"no, did not evacuate"
268,FL,okaloosa county,17,,,,,,,,"no, did not evacuate"
269,FL,escambia county,30,,,,,,,,"no, did not evacuate"
270,FL,franklin county,1,,,,,,,,"no, did not evacuate"
271,FL,walton county,10,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
272,FL,escambia county,6,,,,,,,,"no, did not evacuate"
273,FL,okaloosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
274,FL,inland counties,18,,,,,,,,"no, did not evacuate"
275,FL,bay county,4,,,,,,,,"no, did not evacuate"
276,FL,escambia county,,,,,probability (odds) were high that the storm could hit,,,,"yes, evacuated"
277,FL,escambia county,13,,,,,,,,"no, did not evacuate"
278,FL,inland counties,6,,,,,,,,"no, did not evacuate"
279,FL,okaloosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
280,FL,inland counties,,,,,advice or order by elected officials,,,,"yes, evacuated"
281,FL,santa rosa county,24,,,,,,,,"no, did not evacuate"
282,FL,inland counties,6,,,,,,,,"no, did not evacuate"
283,FL,inland counties,,,,,advice from friend or relative,,,,"yes, evacuated"
284,FL,walton county,18,,,,,,,,"no, did not evacuate"
285,FL,gulf county,,,,,advice or order by elected officials,,,,"yes, evacuated"
286,FL,franklin county,4,,,,,,,,"no, did not evacuate"
287,FL,escambia county,6,,,,,,,,"no, did not evacuate"
288,FL,inland counties,6,,,,,,,,"no, did not evacuate"
289,FL,inland counties,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
290,FL,bay county,24,,,,,,,,"no, did not evacuate"
291,FL,santa rosa county,24,,,,,,,,"no, did not evacuate"
292,FL,walton county,,,,,national weather service issued hurricane watch,,,,"yes, evacuated"
293,FL,santa rosa county,24,,,,,,,,"no, did not evacuate"
294,FL,escambia county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
295,FL,walton county,,,,,experience in other storms,,,,"yes, evacuated"
296,FL,escambia county,7,,,,,,,,"no, did not evacuate"
297,FL,inland counties,13,,,,,,,,"no, did not evacuate"
298,FL,santa rosa county,16,,,,,,,,"no, did not evacuate"
299,FL,monroe county,1,,,,,,,,"no, did not evacuate"
300,FL,escambia county,6,,,,,,,,"no, did not evacuate"
301,FL,escambia county,17,,,,,,,,"no, did not evacuate"
302,FL,okaloosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
303,FL,okaloosa county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
304,FL,walton county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
305,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
306,FL,walton county,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
307,FL,monroe county,1,,,,,,,,"no, did not evacuate"
308,FL,bay county,6,,,,,,,,"no, did not evacuate"
309,FL,escambia county,17,,,,,,,,"no, did not evacuate"
310,FL,gulf county,,,,,advice or order by elected officials,,,,"yes, evacuated"
311,FL,okaloosa county,4,,,,,,,,"no, did not evacuate"
312,FL,okaloosa county,6,left unnecessarily in past storms,,,,,,,"no, did not evacuate"
313,FL,bay county,4,forecast said storm would hit a different location,,,,,,,"no, did not evacuate"
314,FL,santa rosa county,,,,,don't know,,,,"yes, evacuated"
315,FL,franklin county,14,,,,,,,,"no, did not evacuate"
316,FL,escambia county,4,,,,,,,,"no, did not evacuate"
317,FL,okaloosa county,24,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
318,FL,escambia county,,,,,advice or order by elected officials,,,,"yes, evacuated"
319,FL,walton county,15,probabilities indicated low chance of a hit,no place to take pets/shelter would not accept pets,,,,,,"no, did not evacuate"
320,FL,gulf county,,,,,advice or order by elected officials,,,,"yes, evacuated"
321,FL,escambia county,6,,,,,,,,"no, did not evacuate"
322,FL,bay county,30,,,,,,,,"no, did not evacuate"
323,FL,inland counties,1,,,,,,,,"no, did not evacuate"
324,FL,santa rosa county,29,,,PERSONAL PREFERENCE,,,,,"no, did not evacuate"
325,FL,okaloosa county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
326,FL,walton county,,,,,advice from national weather service,information about the severity of the storm,forecast indicated storm could hit,,"yes, evacuated"
327,FL,gulf county,,,,,advice or order by elected officials,,,,"yes, evacuated"
328,FL,inland counties,6,,,,,,,,"no, did not evacuate"
329,FL,bay county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
330,FL,santa rosa county,16,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
331,FL,monroe county,6,no place to take pets/shelter would not accept pets,,,,,,,"no, did not evacuate"
332,FL,escambia county,29,,,WE WERE FOOLS,,,,,"no, did not evacuate"
333,FL,monroe county,,,,,concerned strong winds would make house unsafe,concerned that storm might hit,,,"yes, evacuated"
334,FL,escambia county,,,,,information about the severity of the storm,,,,"yes, evacuated"
335,FL,santa rosa county,,,,,advice from the media,,,,"yes, evacuated"
336,FL,santa rosa county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
337,FL,okaloosa county,14,,,,,,,,"no, did not evacuate"
338,FL,okaloosa county,4,,,,,,,,"no, did not evacuate"
339,FL,escambia county,6,,,,,,,,"no, did not evacuate"
340,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
341,FL,bay county,,,,,"other, specify",,,HAD A TORNADO NEAR BY AND THE POWER WENT OUT,"yes, evacuated"
342,FL,walton county,15,,,,,,,,"no, did not evacuate"
343,FL,walton county,6,,,,,,,,"no, did not evacuate"
344,FL,bay county,4,,,,,,,,"no, did not evacuate"
345,FL,okaloosa county,6,,,PREDICTIONS,,,,,"no, did not evacuate"
346,FL,santa rosa county,,,,,information about the severity of the storm,forecast indicated storm would hit,,,"yes, evacuated"
347,FL,walton county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
348,FL,inland counties,6,,,,,,,,"no, did not evacuate"
349,FL,okaloosa county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
350,FL,escambia county,,,,,"other, specify",,,DIDNT WANT TO BE ALONE DURING THE STORM,"yes, evacuated"
351,FL,santa rosa county,13,,,,,,,,"no, did not evacuate"
352,FL,escambia county,6,,,,,,,,"no, did not evacuate"
353,FL,okaloosa county,,,,,concerned that storm might hit,,,,"yes, evacuated"
354,FL,inland counties,1,,,,,,,,"no, did not evacuate"
355,FL,escambia county,6,,,,,,,,"no, did not evacuate"
356,FL,franklin county,15,wanted to protect property from storm,,,,,,,"no, did not evacuate"
357,FL,bay county,14,,,,,,,,"no, did not evacuate"
358,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
359,FL,franklin county,1,,,,,,,,"no, did not evacuate"
360,FL,gulf county,,,,,"other, specify",,,DIDN'T WANT TO BE THERE WHEN HURRICANE CAME THROUGH,"yes, evacuated"
361,FL,walton county,26,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
362,FL,franklin county,4,,,,,,,,"no, did not evacuate"
363,FL,santa rosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
364,FL,bay county,14,,,,,,,,"no, did not evacuate"
365,FL,bay county,6,,,,,,,,"no, did not evacuate"
366,FL,franklin county,1,,,,,,,,"no, did not evacuate"
367,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
