STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,001,044500,3641,+41.086438,-073.424662
09,001,044600,3549,+41.068503,-073.438455
09,001,045101,4170,+41.212737,-073.469472
09,001,045102,6034,+41.224462,-073.430532
09,001,045200,2367,+41.194904,-073.435626
09,001,045300,2461,+41.167574,-073.438996
09,001,045400,3030,+41.177972,-073.401549
09,001,050100,3828,+41.154747,-073.376466
09,001,050200,4008,+41.151266,-073.355345
09,001,050300,8122,+41.158168,-073.330196
09,001,050400,2341,+41.116767,-073.374033
09,001,050500,4744,+41.123554,-073.355812
09,001,050600,3348,+41.130109,-073.322924
09,001,055100,5807,+41.231909,-073.380957
09,001,055200,4372,+41.203608,-073.354593
09,001,060100,4152,+41.212187,-073.240285
09,001,060200,4164,+41.198155,-073.249785
09,001,060300,4088,+41.198654,-073.271228
09,001,060400,4443,+41.184673,-073.305413
09,001,060500,2841,+41.154916,-073.285154
09,001,060600,2336,+41.138641,-073.287402
09,001,060700,7675,+41.158300,-073.262345
09,001,060800,2139,+41.159658,-073.247604
09,001,060900,2447,+41.171171,-073.250782
09,001,061000,3816,+41.183437,-073.245122
09,001,061100,3771,+41.195045,-073.226797
09,001,061200,2186,+41.180763,-073.228781
09,001,061300,2954,+41.174429,-073.236197
09,001,061400,2736,+41.166811,-073.235466
09,001,061500,4692,+41.142509,-073.243924
09,001,061600,4964,+41.132824,-073.262012
09,001,070100,5021,+41.155245,-073.227318
09,001,070200,4052,+41.161790,-073.221918
09,001,070300,1297,+41.160745,-073.214741
09,001,070400,1693,+41.164400,-073.195051
09,001,070500,2801,+41.167433,-073.194373
09,001,070600,2445,+41.175449,-073.191657
09,001,070900,2584,+41.170904,-073.201345
09,001,071000,3563,+41.172651,-073.215059
09,001,071100,4576,+41.175893,-073.210729
09,001,071200,5205,+41.177342,-073.204892
09,001,071300,3030,+41.179433,-073.200273
09,001,071400,3861,+41.185528,-073.199785
09,001,071600,2448,+41.183635,-073.195724
09,001,071900,4831,+41.193733,-073.202032
09,001,072000,3565,+41.189803,-073.207153
09,001,072100,6094,+41.185298,-073.214728
09,001,072200,3828,+41.197080,-073.214026
09,001,072300,5396,+41.201877,-073.208345
09,001,072400,2836,+41.209007,-073.203678
09,001,072500,5726,+41.209528,-073.217580
09,001,072600,7583,+41.219451,-073.227926
09,001,072700,3726,+41.220246,-073.208312
09,001,072800,5469,+41.217234,-073.196823
09,001,072900,4594,+41.214731,-073.190627
09,001,073000,1899,+41.213146,-073.177451
09,001,073100,5853,+41.210232,-073.169586
09,001,073200,2460,+41.199197,-073.158561
09,001,073300,3351,+41.195589,-073.163752
09,001,073400,4113,+41.201653,-073.180443
09,001,073500,3456,+41.195093,-073.183458
09,001,073600,2304,+41.193803,-073.178194
09,001,073700,4824,+41.190384,-073.163435
09,001,073800,2274,+41.189500,-073.177390
09,001,073900,3395,+41.188683,-073.184327
09,001,074000,1919,+41.182038,-073.179196
09,001,074300,4267,+41.181824,-073.164156
09,001,074400,4168,+41.176012,-073.163851
09,001,080100,4843,+41.197778,-073.150330
09,001,080200,4298,+41.189382,-073.146860
09,001,080400,5956,+41.177391,-073.138204
09,001,080500,3189,+41.155353,-073.122329
09,001,080600,2580,+41.183280,-073.130440
09,001,080700,1955,+41.194327,-073.127792
09,001,080800,4800,+41.209708,-073.122950
09,001,080900,4726,+41.203822,-073.139525
09,001,081000,4376,+41.214135,-073.153568
09,001,081100,4699,+41.221544,-073.141008
09,001,081200,5231,+41.226119,-073.127292
09,001,081300,4731,+41.252849,-073.115420
09,001,090100,3315,+41.279673,-073.254669
09,001,090200,7831,+41.266709,-073.230090
09,001,090300,4561,+41.239681,-073.230226
09,001,090400,6552,+41.237457,-073.203460
09,001,090500,4718,+41.239082,-073.168428
09,001,090600,3494,+41.257455,-073.173400
09,001,090700,5547,+41.279219,-073.203049
09,001,100100,5574,+41.323912,-073.262000
09,001,100200,6979,+41.321869,-073.216281
09,001,100300,6926,+41.352327,-073.201524
09,001,105100,4076,+41.234181,-073.277255
09,001,105200,3414,+41.284714,-073.296584
09,001,110100,2321,+41.315214,-073.094101
09,001,110201,4782,+41.302357,-073.083099
09,001,110202,4756,+41.280389,-073.096193
09,001,110301,6174,+41.303117,-073.112204
09,001,110302,2602,+41.275105,-073.140901
09,001,110400,4911,+41.288042,-073.170697
09,001,110500,5928,+41.310803,-073.163553
09,001,110600,8085,+41.338177,-073.137871
09,001,200100,3606,+41.370488,-073.425450
09,001,200200,4908,+41.376721,-073.406181
09,001,200301,4852,+41.407750,-073.392173
09,001,200302,5218,+41.368167,-073.386052
09,001,205100,4000,+41.477111,-073.427686
09,001,205200,7054,+41.475512,-073.380055
09,001,205300,5398,+41.445391,-073.396154
09,001,210100,5986,+41.394507,-073.451022
09,001,210200,6578,+41.398941,-073.446353
09,001,210300,5305,+41.407070,-073.438810
09,001,210400,8419,+41.391904,-073.426379
09,001,210500,7033,+41.369155,-073.478152
09,001,210600,6173,+41.386248,-073.457660
09,001,210701,5470,+41.396925,-073.464928
09,001,210702,4478,+41.389010,-073.470952
09,001,210800,5623,+41.400013,-073.502149
09,001,210900,5713,+41.422293,-073.496452
09,001,211000,4034,+41.426776,-073.475466
09,001,211100,1375,+41.437550,-073.466783
09,001,211200,6046,+41.425219,-073.457091
09,001,211300,3635,+41.439598,-073.441753
09,001,211400,5025,+41.431341,-073.424316
09,001,220100,5193,+41.461648,-073.524372
09,001,220200,4893,+41.476030,-073.494010
09,001,220300,3795,+41.489643,-073.467819
09,001,230100,7061,+41.433240,-073.304637
09,001,230200,1941,+41.412484,-073.312053
09,001,230300,3441,+41.395926,-073.339522
09,001,230400,5651,+41.362356,-073.307287
09,001,230501,4329,+41.411021,-073.230784
09,001,230502,5137,+41.384249,-073.251138
09,001,240100,4599,+41.290432,-073.426079
09,001,240200,4559,+41.314309,-073.368373
09,001,245100,2870,+41.318829,-073.507434
09,001,245200,4397,+41.321766,-073.482554
09,001,245300,4974,+41.285683,-073.481645
09,001,245400,3311,+41.257319,-073.482520
09,001,245500,3099,+41.275040,-073.511929
09,001,245600,5987,+41.320683,-073.524219
09,001,257100,3581,+41.575757,-073.495600
09,001,257200,3722,+41.197840,-073.197973
09,001,990000,0,+41.060092,-073.293367
09,003,330100,2114,+41.998558,-072.927352
09,003,400100,7195,+41.623480,-072.744841
09,003,400200,5769,+41.597915,-072.770314
09,003,400300,6902,+41.630252,-072.784727
09,003,405100,3171,+41.679910,-072.934014
09,003,405200,4447,+41.679892,-072.913464
09,003,405300,6140,+41.688231,-072.901325
09,003,405401,3325,+41.662792,-072.894111
09,003,405402,3982,+41.662272,-072.909845
09,003,405500,5206,+41.659134,-072.940028
09,003,405600,7222,+41.663067,-072.961982
09,003,405700,2186,+41.675704,-072.957967
09,003,405800,7388,+41.695022,-072.961271
09,003,405900,4636,+41.701255,-072.936874
09,003,406001,4054,+41.705907,-072.921003
09,003,406002,4810,+41.709765,-072.904324
09,003,406100,3910,+41.674319,-072.941633
09,003,410101,5246,+41.740924,-072.949646
09,003,410102,4055,+41.777999,-072.948602
09,003,415300,2282,+41.666716,-072.768194
09,003,415400,6289,+41.661081,-072.760237
09,003,415500,2930,+41.657529,-072.770822
09,003,415600,4215,+41.654443,-072.781147
09,003,415700,3266,+41.656630,-072.789433
09,003,415800,2473,+41.663444,-072.795082
09,003,415900,1788,+41.671707,-072.790693
09,003,416000,4516,+41.677167,-072.790021
09,003,416100,4809,+41.677386,-072.780126
09,003,416200,3102,+41.678854,-072.772669
09,003,416300,3737,+41.675122,-072.762609
09,003,416400,3313,+41.657408,-072.808868
09,003,416500,4703,+41.676639,-072.810560
09,003,416600,2937,+41.672560,-072.800674
09,003,416700,6561,+41.692124,-072.797661
09,003,416800,3019,+41.686202,-072.776851
09,003,417100,1886,+41.664367,-072.779685
09,003,417200,1822,+41.687940,-072.762667
09,003,417300,2150,+41.692320,-072.764851
09,003,417400,2954,+41.707299,-072.770439
09,003,417500,4454,+41.700134,-072.784582
09,003,420400,2839,+41.688669,-072.880256
09,003,420500,5442,+41.665093,-072.873715
09,003,420600,5880,+41.673872,-072.855254
09,003,420700,3555,+41.665595,-072.847672
09,003,430100,4103,+41.595201,-072.876333
09,003,430201,3388,+41.634301,-072.864837
09,003,430202,4709,+41.616620,-072.845830
09,003,430203,4212,+41.597247,-072.857841
09,003,430301,3599,+41.566163,-072.855211
09,003,430302,2755,+41.576166,-072.873101
09,003,430400,5049,+41.573709,-072.902093
09,003,430500,6547,+41.592846,-072.912003
09,003,430601,5202,+41.621677,-072.890295
09,003,430602,3505,+41.607236,-072.889336
09,003,460100,3325,+41.723555,-072.785032
09,003,460202,4119,+41.724598,-072.813007
09,003,460203,3018,+41.744764,-072.842744
09,003,460204,5941,+41.713704,-072.874445
09,003,460301,4982,+41.747927,-072.871581
09,003,460302,4033,+41.750338,-072.892220
09,003,462101,5833,+41.786316,-072.878748
09,003,462102,4239,+41.789819,-072.906294
09,003,462201,5256,+41.798345,-072.850444
09,003,462202,2692,+41.794739,-072.815894
09,003,464101,5285,+41.861799,-072.904869
09,003,464102,5007,+41.820735,-072.913241
09,003,466101,4200,+41.852508,-072.833255
09,003,466102,4978,+41.830437,-072.844254
09,003,466201,2318,+41.910633,-072.801043
09,003,466202,4732,+41.884196,-072.846804
09,003,466300,4866,+41.889841,-072.810342
09,003,466400,2417,+41.888260,-072.777030
09,003,468101,7468,+41.984448,-072.824614
09,003,468102,3814,+41.944554,-072.795634
09,003,470100,5148,+41.935714,-072.743513
09,003,471100,3635,+41.818862,-072.690938
09,003,471200,3347,+41.821150,-072.706086
09,003,471300,4577,+41.825760,-072.733520
09,003,471400,5515,+41.843963,-072.759259
09,003,471500,3412,+41.845358,-072.718382
09,003,473100,6246,+41.834774,-072.674325
09,003,473400,1854,+41.850824,-072.649182
09,003,473501,4400,+41.886741,-072.683583
09,003,473502,3241,+41.906444,-072.685178
09,003,473601,3320,+41.879804,-072.636265
09,003,473602,2260,+41.865559,-072.655182
09,003,473700,5865,+41.830645,-072.655048
09,003,473800,1858,+41.812899,-072.658342
09,003,476100,4570,+41.932077,-072.635972
09,003,476200,2814,+41.933190,-072.647423
09,003,476300,5114,+41.918060,-072.650880
09,003,477101,4259,+41.998302,-072.661149
09,003,477102,8521,+41.977265,-072.628422
09,003,477200,2955,+42.010396,-072.736269
09,003,480300,2244,+42.025269,-072.571207
09,003,480400,3730,+42.008736,-072.571941
09,003,480500,3253,+42.007508,-072.591777
09,003,480600,4955,+41.999066,-072.599563
09,003,480700,2210,+41.982234,-072.595597
09,003,480800,4425,+41.989794,-072.547836
09,003,480900,2246,+41.992663,-072.509453
09,003,481000,3644,+41.959353,-072.533752
09,003,481100,3855,+41.968844,-072.566523
09,003,481200,3769,+41.960949,-072.587351
09,003,481300,3032,+41.944930,-072.575516
09,003,484100,5527,+41.912059,-072.597294
09,003,484200,5635,+41.908186,-072.542175
09,003,487100,6781,+41.853829,-072.553040
09,003,487201,4567,+41.827266,-072.525682
09,003,487202,3659,+41.846281,-072.511498
09,003,487300,1595,+41.828776,-072.616364
09,003,487400,2317,+41.825126,-072.589440
09,003,487500,6790,+41.814333,-072.572776
09,003,490100,5316,+41.663216,-072.641291
09,003,490302,8249,+41.649578,-072.691579
09,003,492100,3319,+41.709325,-072.656135
09,003,492200,4163,+41.704519,-072.666788
09,003,492300,5815,+41.719166,-072.682490
09,003,492400,2967,+41.706338,-072.689722
09,003,492500,3433,+41.695789,-072.685172
09,003,492600,6971,+41.681587,-072.677055
09,003,494100,6048,+41.677771,-072.714659
09,003,494201,4822,+41.663129,-072.740197
09,003,494202,2815,+41.659109,-072.713156
09,003,494300,4140,+41.681723,-072.742987
09,003,494400,4758,+41.695646,-072.721268
09,003,494500,4497,+41.712178,-072.725190
09,003,494600,3482,+41.710370,-072.747872
09,003,496100,2691,+41.729267,-072.722857
09,003,496200,4592,+41.725885,-072.744259
09,003,496300,3565,+41.741924,-072.739238
09,003,496400,2954,+41.741015,-072.752241
09,003,496500,2700,+41.754696,-072.752409
09,003,496600,2741,+41.743495,-072.768374
09,003,496700,3979,+41.753918,-072.724105
09,003,496800,3523,+41.745754,-072.723778
09,003,496900,6332,+41.759965,-072.727186
09,003,497000,4342,+41.773893,-072.733056
09,003,497100,4070,+41.766930,-072.729978
09,003,497200,2415,+41.783083,-072.726874
09,003,497300,5207,+41.796690,-072.732223
09,003,497400,3834,+41.776964,-072.753474
09,003,497500,3841,+41.792435,-072.753465
09,003,497600,2342,+41.763275,-072.751001
09,003,497700,4140,+41.776747,-072.772829
09,003,500100,4099,+41.745525,-072.678061
09,003,500200,2335,+41.749949,-072.677111
09,003,500300,2343,+41.756166,-072.678445
09,003,500400,1687,+41.755124,-072.668599
09,003,500500,1477,+41.758795,-072.673118
09,003,500700,1095,+41.789978,-072.663577
09,003,500900,2124,+41.780287,-072.674067
09,003,501200,2369,+41.790632,-072.679744
09,003,501300,1735,+41.787595,-072.675795
09,003,501400,2641,+41.781893,-072.690046
09,003,501500,3550,+41.788477,-072.685379
09,003,501700,1318,+41.775463,-072.682663
09,003,501800,2863,+41.778947,-072.681774
09,003,502100,1852,+41.765533,-072.676318
09,003,502300,5998,+41.733776,-072.681574
09,003,502400,6055,+41.739095,-072.676121
09,003,502500,1828,+41.734840,-072.670859
09,003,502600,3838,+41.739805,-072.688839
09,003,502700,5240,+41.747924,-072.687249
09,003,502800,3283,+41.755955,-072.687076
09,003,502900,2938,+41.757993,-072.693942
09,003,503000,3255,+41.760947,-072.687338
09,003,503100,4478,+41.768053,-072.698584
09,003,503300,2390,+41.771663,-072.693139
09,003,503500,1622,+41.778288,-072.691181
09,003,503700,2651,+41.783064,-072.699260
09,003,503800,3508,+41.799551,-072.713343
09,003,503900,5203,+41.800991,-072.699831
09,003,504000,3413,+41.792915,-072.698162
09,003,504100,1855,+41.759005,-072.706377
09,003,504200,5123,+41.765565,-072.707210
09,003,504300,2946,+41.754569,-072.710579
09,003,504500,3701,+41.741882,-072.698584
09,003,504800,4560,+41.732458,-072.697939
09,003,504900,4548,+41.749112,-072.699133
09,003,510100,2232,+41.786343,-072.635239
09,003,510200,2502,+41.769563,-072.647544
09,003,510300,4310,+41.784586,-072.624001
09,003,510400,5659,+41.775172,-072.625683
09,003,510500,3458,+41.763827,-072.609964
09,003,510600,5007,+41.756557,-072.637142
09,003,510700,4961,+41.739689,-072.618973
09,003,510800,3143,+41.732962,-072.631215
09,003,510900,3680,+41.736132,-072.588641
09,003,511000,3415,+41.748123,-072.589584
09,003,511100,3592,+41.761492,-072.591347
09,003,511200,3363,+41.777255,-072.591003
09,003,511300,3509,+41.782889,-072.597377
09,003,511400,2421,+41.793175,-072.604179
09,003,514101,3659,+41.802226,-072.492852
09,003,514102,7398,+41.804297,-072.534688
09,003,514200,3076,+41.796743,-072.531226
09,003,514300,4291,+41.785962,-072.513668
09,003,514400,4768,+41.783619,-072.526691
09,003,514500,4364,+41.779594,-072.545600
09,003,514600,5261,+41.769201,-072.541744
09,003,514700,4298,+41.769763,-072.523142
09,003,514800,3485,+41.770337,-072.511518
09,003,514900,2881,+41.789287,-072.497058
09,003,515000,2923,+41.776092,-072.495792
09,003,515101,2555,+41.759612,-072.537667
09,003,515102,5866,+41.758331,-072.557161
09,003,515200,3416,+41.756457,-072.497051
09,003,520100,5830,+41.723104,-072.552029
09,003,520201,3739,+41.714708,-072.499737
09,003,520202,4280,+41.675683,-072.530756
09,003,520301,4578,+41.722122,-072.590332
09,003,520302,3877,+41.712117,-072.602449
09,003,520400,7718,+41.690222,-072.583581
09,003,520501,4405,+41.661053,-072.593737
09,003,524100,6404,+41.639758,-072.459692
09,003,524200,6144,+41.661174,-072.659078
09,003,524300,7291,+42.019656,-072.528298
09,003,524400,3057,+41.795219,-072.669839
09,003,524501,2704,+41.761066,-072.712846
09,003,524502,2158,+41.774932,-072.708793
09,003,524600,3311,+41.773033,-072.690707
09,003,524700,3624,+41.731968,-072.709694
09,003,980000,0,+41.937331,-072.686493
09,005,250100,1727,+41.529519,-073.361391
09,005,253100,3511,+41.594318,-073.410528
09,005,253200,7429,+41.581416,-073.385230
09,005,253300,2215,+41.554381,-073.428907
09,005,253400,6308,+41.552509,-073.441366
09,005,253500,6114,+41.633283,-073.417676
09,005,253600,2565,+41.572802,-073.417238
09,005,260200,3315,+42.024521,-073.314269
09,005,261100,3741,+41.974629,-073.425629
09,005,262100,2782,+41.869479,-073.453081
09,005,263200,1420,+41.843927,-073.339874
09,005,265100,1461,+41.738670,-073.355394
09,005,266100,2979,+41.722080,-073.458845
09,005,267100,3578,+41.657049,-073.322554
09,005,268100,2262,+41.548924,-073.296656
09,005,290100,3799,+41.925113,-072.978835
09,005,293100,1485,+41.992586,-073.092415
09,005,296100,2976,+41.828437,-073.244487
09,005,298300,2767,+41.783175,-073.083288
09,005,298400,2875,+41.754724,-073.053739
09,005,300100,2716,+41.737920,-073.245841
09,005,300400,2074,+41.764105,-073.181332
09,005,300500,3676,+41.725562,-073.145553
09,005,303100,2388,+41.687811,-073.210891
09,005,306100,6970,+41.850839,-073.009594
09,005,310100,4406,+41.815773,-073.113337
09,005,310200,2929,+41.808735,-073.128151
09,005,310300,1817,+41.800882,-073.118103
09,005,310400,2644,+41.800996,-073.103652
09,005,310500,1806,+41.812525,-073.099996
09,005,310601,3740,+41.851124,-073.076136
09,005,310602,4605,+41.813339,-073.083660
09,005,310700,4279,+41.840659,-073.127416
09,005,310801,2414,+41.790793,-073.119530
09,005,310803,4826,+41.797780,-073.136669
09,005,310804,2917,+41.807446,-073.150784
09,005,320100,6345,+41.930791,-073.062688
09,005,320200,4897,+41.911777,-073.091733
09,005,342100,3607,+41.638599,-073.206827
09,005,349100,5045,+41.669066,-073.092712
09,005,349200,2842,+41.679792,-073.072287
09,005,360100,5357,+41.607467,-073.113756
09,005,360200,7765,+41.607521,-073.130045
09,005,360300,3396,+41.595740,-073.078574
09,005,360400,5996,+41.588500,-073.093039
09,005,362101,4159,+41.530656,-073.205158
09,005,362102,5816,+41.569757,-073.208972
09,005,425300,4107,+41.687814,-073.026668
09,005,425400,4818,+41.655619,-073.022154
09,005,425500,3318,+41.677419,-073.000386
09,005,425600,2943,+41.972060,-073.257683
09,007,541100,2579,+41.565468,-072.657784
09,007,541200,5190,+41.576882,-072.678790
09,007,541300,6207,+41.591993,-072.703267
09,007,541401,3339,+41.572520,-072.722539
09,007,541402,5479,+41.560260,-072.684961
09,007,541500,3227,+41.554816,-072.656741
09,007,541600,1540,+41.562949,-072.651470
09,007,541700,3740,+41.553334,-072.644537
09,007,542000,4439,+41.540113,-072.641427
09,007,542100,3544,+41.541933,-072.665426
09,007,542200,1638,+41.522851,-072.673751
09,007,550100,5829,+41.595973,-072.513612
09,007,550201,3954,+41.563999,-072.480995
09,007,550202,3176,+41.556387,-072.521949
09,007,560100,5816,+41.593317,-072.596343
09,007,560200,3692,+41.578982,-072.632874
09,007,570100,4675,+41.610803,-072.686963
09,007,570200,3388,+41.618334,-072.664143
09,007,570300,5942,+41.607694,-072.650705
09,007,580100,4425,+41.522026,-072.710929
09,007,585100,7388,+41.463597,-072.687284
09,007,590100,8346,+41.466768,-072.551465
09,007,595101,3697,+41.469676,-072.381234
09,007,595102,5429,+41.499097,-072.431302
09,007,600100,3994,+41.404833,-072.466760
09,007,610100,2149,+41.277561,-072.533625
09,007,610200,3513,+41.276199,-072.510532
09,007,610300,4212,+41.307648,-072.521529
09,007,610400,3386,+41.304109,-072.552241
09,007,620100,4629,+41.375192,-072.449165
09,007,630100,6683,+41.347764,-072.420116
09,007,640100,6525,+41.369933,-072.570550
09,007,670100,4848,+41.305404,-072.396414
09,007,670200,5394,+41.281833,-072.375693
09,007,680100,6938,+41.294631,-072.456648
09,007,680200,6726,+41.527927,-072.629860
09,007,990100,0,+41.224786,-072.437040
09,009,120100,6721,+41.317865,-073.064768
09,009,120200,6181,+41.329092,-073.094935
09,009,125100,4503,+41.332896,-073.057440
09,009,125200,5812,+41.344528,-073.069969
09,009,125300,5540,+41.344105,-073.088633
09,009,125400,3394,+41.355516,-073.079287
09,009,130101,4911,+41.401535,-073.059298
09,009,130102,3113,+41.375634,-073.073914
09,009,130200,8516,+41.380183,-073.100849
09,009,140100,2426,+41.305763,-072.925347
09,009,140200,1518,+41.298867,-072.927667
09,009,140300,2737,+41.296751,-072.932672
09,009,140400,3329,+41.287763,-072.932594
09,009,140500,3687,+41.293585,-072.938882
09,009,140600,4745,+41.301655,-072.941012
09,009,140700,3979,+41.311593,-072.938507
09,009,140800,3964,+41.308636,-072.947138
09,009,140900,4476,+41.316131,-072.949140
09,009,141000,3729,+41.321336,-072.964195
09,009,141100,2777,+41.324084,-072.978288
09,009,141200,4426,+41.332461,-072.973520
09,009,141300,5913,+41.332171,-072.955755
09,009,141400,5023,+41.322757,-072.946311
09,009,141500,6873,+41.330186,-072.932401
09,009,141600,5169,+41.318264,-072.934397
09,009,141800,3892,+41.327255,-072.921820
09,009,141900,5063,+41.321699,-072.912393
09,009,142000,3396,+41.314725,-072.916301
09,009,142100,1744,+41.310785,-072.912647
09,009,142200,1581,+41.304252,-072.917509
09,009,142300,5448,+41.306451,-072.897161
09,009,142400,5360,+41.313163,-072.900150
09,009,142500,5929,+41.315217,-072.892827
09,009,142601,5926,+41.327193,-072.871965
09,009,142603,3960,+41.314833,-072.873113
09,009,142604,2914,+41.304279,-072.883148
09,009,142700,6654,+41.291328,-072.892251
09,009,142800,4841,+41.267262,-072.894010
09,009,150100,4123,+41.221778,-073.061445
09,009,150200,3622,+41.210830,-073.067018
09,009,150300,3953,+41.203830,-073.089748
09,009,150400,4284,+41.194179,-073.086239
09,009,150500,4308,+41.193577,-073.102036
09,009,150600,6407,+41.225611,-073.090382
09,009,150700,4361,+41.248925,-073.063657
09,009,150800,3950,+41.244836,-073.033370
09,009,150900,3958,+41.217780,-073.040126
09,009,151000,4126,+41.210230,-073.021106
09,009,151100,6579,+41.224641,-073.009312
09,009,151200,3088,+41.236480,-072.999613
09,009,154100,8070,+41.295465,-072.971118
09,009,154200,7176,+41.275667,-072.976399
09,009,154500,4813,+41.278004,-072.947018
09,009,154600,4029,+41.272547,-072.959981
09,009,154700,6384,+41.245807,-072.982081
09,009,154800,5135,+41.249826,-072.970091
09,009,154900,3670,+41.264550,-072.953349
09,009,155000,5290,+41.269605,-072.941862
09,009,155100,3390,+41.260703,-072.944082
09,009,157100,2603,+41.268355,-073.007499
09,009,157200,3837,+41.266246,-073.036124
09,009,157300,3310,+41.293707,-073.054673
09,009,157400,4206,+41.293882,-073.009063
09,009,160100,3443,+41.334141,-073.020609
09,009,160200,5547,+41.363843,-073.008250
09,009,161100,5563,+41.424544,-073.002033
09,009,165100,3928,+41.344782,-072.897461
09,009,165200,2485,+41.354164,-072.904920
09,009,165300,2289,+41.362612,-072.913341
09,009,165400,5112,+41.344796,-072.918686
09,009,165500,4959,+41.340351,-072.935637
09,009,165600,5569,+41.354753,-072.933612
09,009,165700,4588,+41.346459,-072.948320
09,009,165801,5434,+41.373847,-072.925126
09,009,165802,4086,+41.366534,-072.947876
09,009,165900,7897,+41.415839,-072.927480
09,009,166001,6887,+41.389946,-072.907505
09,009,166002,7726,+41.411894,-072.895638
09,009,167100,7743,+41.388997,-072.884561
09,009,167201,4176,+41.380553,-072.855515
09,009,167202,4485,+41.402390,-072.841042
09,009,167300,7689,+41.361949,-072.843608
09,009,170100,2022,+41.539215,-072.795859
09,009,170200,2505,+41.540357,-072.804043
09,009,170300,2147,+41.542705,-072.810758
09,009,170400,1747,+41.544949,-072.821871
09,009,170500,5781,+41.528928,-072.841905
09,009,170600,2518,+41.531735,-072.826575
09,009,170700,2598,+41.533704,-072.814966
09,009,170800,5741,+41.523519,-072.810577
09,009,170900,2006,+41.533113,-072.809895
09,009,171000,1869,+41.534070,-072.798411
09,009,171100,5784,+41.521045,-072.795274
09,009,171200,8018,+41.516642,-072.771779
09,009,171300,3694,+41.535535,-072.779307
09,009,171400,2128,+41.537001,-072.789349
09,009,171500,3656,+41.548358,-072.788332
09,009,171600,4808,+41.558889,-072.788914
09,009,171700,3846,+41.546711,-072.767012
09,009,175100,3244,+41.460550,-072.817157
09,009,175200,2315,+41.452292,-072.823695
09,009,175300,4327,+41.439723,-072.823240
09,009,175400,4431,+41.469835,-072.822216
09,009,175500,7905,+41.458432,-072.850972
09,009,175600,5009,+41.483467,-072.841376
09,009,175700,2496,+41.497881,-072.832326
09,009,175800,4014,+41.472075,-072.790805
09,009,175900,5043,+41.446274,-072.804294
09,009,176000,6351,+41.439991,-072.786604
