StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q13_3_TEXT,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42_1,Q42_2,Q42_3,Q43,Q44,Code
12/7/2017 14:39,12/7/2017 14:42,IP Address,75.57.249.163,100,139,TRUE,12/7/2017 14:42,R_2qehnfNa6vJdMxH,,,,,26.02220154,-80.14959717,anonymous,EN,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Stay,Evacuate,"No place to go (hotels, public shelters, friends' or family's places, etc.)",A moderate amount,Increased my desire to leave,Yes,2017 before Irma,,Stay,No,33020,29,Female,Hispanic,College graduate,"Less than $15,000",1,No,No,No,No,33020,10 to 30 miles,Duplex or triplex home,Wood,Rent,No,boward,Yes,Voluntary (should),Other,September 1st (Friday),,Yes,September 1st (Friday),Night,No,No,No,Yes,A20URTQLCYJS7A,434779
12/7/2017 14:41,12/7/2017 14:46,IP Address,71.53.252.219,98,277,FALSE,12/7/2017 15:08,R_2ZElYFlVIlawmXW,,,,,,,anonymous,EN,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A moderate amount,None at all,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Stay,Stay,None,A moderate amount,Increased my desire to leave,Yes,Before 2016 (Please specify the year),Charlie,Stay,Yes,32708,51,Male,Caucasian,College graduate,"$40,000 to $80,000",4,Yes,Yes,No,No,32708,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,Seminole,,,,,Yes,No,,,No,No,No,Yes,A1S5W9N861BFLD,634394
12/7/2017 14:34,12/7/2017 14:46,IP Address,76.123.116.246,98,694,FALSE,12/7/2017 15:08,R_3RaSTCwO9BAcGmq,,,,,,,anonymous,EN,A great deal,A little,A moderate amount,A moderate amount,A great deal,A lot,Yes,A little,A little,A little,A great deal,A great deal,A little,Yes,A little,A little,A moderate amount,A moderate amount,A little,A little,Stay,Stay,"Having young children,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",A lot,Increased my desire to leave,Yes,2016,,Stay,Yes,32065,34,Female,African American,Graduate school,"Over $80,000",4,Yes,No,No,No,32065,10 to 30 miles,Condo/apartment - 4 stories or less,Wood,Own,Yes,duval,Yes,Voluntary (should),"Radio or TV,Social media or internet,Word of mouth (friends/relative/neighbor),Police/authorities came into the neighborhood",September 2nd (Saturday),No,No,,,No,Yes,No,Yes,ANS1PG8OF1532,314012
12/7/2017 14:42,12/7/2017 14:47,IP Address,97.106.166.178,100,323,TRUE,12/7/2017 14:47,R_byc0K2wHCJbqL9T,,,,,27.9098053,-82.78839874,anonymous,EN,A great deal,A little,A great deal,A great deal,A great deal,A great deal,Yes,A moderate amount,A little,A moderate amount,A moderate amount,A little,A lot,No,,,,,,,Neither,Stay,"Having family member(s) with special needs,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.)",None at all,,No,,,,,33716,45,Female,Caucasian,Some college,"$25,000 to $40,000",2,No,No,Yes,No,45103,Within 1 mile,Detached single family home,Brick or block,Own,Yes,Pinellas,No,,,,Yes,No,,,No,No,No,No,AY8Q6SAWGFLGU,996590
12/7/2017 14:42,12/7/2017 14:47,IP Address,97.106.166.178,100,332,TRUE,12/7/2017 14:47,R_D6kTQAnQwMUz1sJ,,,,,27.9098053,-82.78839874,anonymous,EN,A great deal,A moderate amount,A great deal,A great deal,A great deal,A great deal,Yes,A moderate amount,A little,A moderate amount,A lot,A little,A great deal,No,,,,,,,Neither,Stay,"Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.)",None at all,,Yes,Before 2016 (Please specify the year),1992,Evacuate,Yes,33774,55,Male,Caucasian,Some college,"$25,000 to $40,000",2,No,No,No,No,33774,Within 1 mile,Detached single family home,Brick or block,Own,Yes,Pinellas,No,,,,Yes,No,,,No,No,No,Yes,A2RFZPWXR7D4I5,283720
12/7/2017 14:41,12/7/2017 14:48,IP Address,99.51.163.108,100,441,TRUE,12/7/2017 14:48,R_2YffsFw3fvBlhUl,,,,,28.51060486,-81.19760132,anonymous,EN,A little,A moderate amount,A moderate amount,A little,A little,A little,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Yes,A little,A little,A little,A little,A little,A little,Stay,Stay,"Evacuation expense (travel, lodging, etc.),No transportation (cars, flights, public transportation, etc),No place to go (hotels, public shelters, friends' or family's places, etc.)",A little,Decreased my desire to leave,Yes,Before 2016 (Please specify the year),2014,Stay,Yes,32828,63,Female,Caucasian,College graduate,"$25,000 to $40,000",3,No,No,No,No,32707,30 to 50 miles,Detached single family home,Brick or block,Rent,No,seminole,,,,,,No,,,No,No,No,Yes,AR8UD52ASM42W,416709
12/7/2017 14:35,12/7/2017 14:50,IP Address,72.238.237.128,98,900,FALSE,12/7/2017 15:08,R_DkR1u0tGM3GzY5j,,,,,,,anonymous,EN,A little,A lot,A moderate amount,A lot,A little,A little,Yes,A moderate amount,A little,A little,A great deal,A moderate amount,A lot,Yes,A little,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,Neither,Stay,"Having young children,Having pets,No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",A little,Decreased my desire to leave,Yes,2017 before Irma,,Stay,Yes,32712,35,Female,Caucasian,Some college,"$40,000 to $80,000",5,Yes,No,No,Yes,32712,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,Orange,No,,,,,No,,,No,No,No,Yes,A1F73TJBNO4RAP,532628
12/7/2017 14:42,12/7/2017 14:50,IP Address,190.124.31.52,100,498,TRUE,12/7/2017 14:50,R_12AnOIOiG7bEtw7,,,,,9.983306885,-72.03330231,anonymous,EN,A moderate amount,A little,None at all,A little,A moderate amount,A lot,Yes,A moderate amount,A little,None at all,A moderate amount,A little,A moderate amount,Yes,A moderate amount,None at all,A little,A moderate amount,A little,A moderate amount,Stay,Evacuate,Having elderly family member(s),A moderate amount,Increased my desire to leave,Yes,2016,,Stay,Yes,33032,30,Male,Caucasian,College graduate,"Over $80,000",3,Yes,No,No,Yes,33032,30 to 50 miles,Detached single family home,Brick or block,Own,No,Hamilton ,Yes,Voluntary (should),"Radio or TV,Social media or internet,Police/authorities came into the neighborhood","September 6th (Wednesday, made its first landfall in Barbuda)",No,Yes,September 9th (Saturday),Morning,Yes,Yes,Yes,Yes,A1BGZSZUUG4DNE,420549
12/7/2017 15:33,12/7/2017 15:35,IP Address,73.1.76.197,100,136,TRUE,12/7/2017 15:35,R_20M2csWGutSMcLz,,,,,26.94670105,-80.21700287,anonymous,EN,A little,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,No,,,,,,,Yes,A little,A moderate amount,A little,A lot,A lot,A moderate amount,Evacuate,,"Having elderly family member(s),Having pets,Evacuation expense (travel, lodging, etc.)",A moderate amount,Increased my desire to leave,No,,,,,33418,24,Male,Caucasian,Some college,"Less than $15,000",3,No,Yes,No,Yes,33418,30 to 50 miles,Detached single family home,Wood,Own,No,palm beach,,,,,Yes,No,,,No,No,No,Yes,A3NQ988D43B0JW,695116
12/7/2017 15:32,12/7/2017 15:36,IP Address,97.106.199.119,100,202,TRUE,12/7/2017 15:36,R_RUG09wYH07j7Ywp,,,,,28.23970032,-82.73880005,anonymous,EN,A lot,A great deal,A little,None at all,A moderate amount,None at all,Yes,A lot,A little,A lot,A great deal,A little,A lot,Yes,A moderate amount,A lot,A lot,A lot,A lot,A moderate amount,Stay,Evacuate,"Having family member(s) with special needs,Having pets",None at all,,Yes,2016,,Stay,Yes,34653,38,Female,Caucasian,College graduate,"$40,000 to $80,000",3,No,No,Yes,Yes,34653,1 to 10 mile,Detached single family home,Brick or block,Rent,Yes,Pasco,Yes,Mandatory (must),"Radio or TV,Social media or internet,Text alerts  or phone calls from officials",September 8th (Friday),No,No,,,No,No,No,Yes,A3DAJROQC1BLNI,727144
12/7/2017 15:36,12/7/2017 15:38,IP Address,67.8.47.48,100,145,TRUE,12/7/2017 15:38,R_3mlQE2h0npkfpLS,,,,,28.49150085,-81.33309937,anonymous,EN,A moderate amount,A little,A lot,A moderate amount,A moderate amount,A lot,Yes,A little,A little,A moderate amount,A great deal,A great deal,A moderate amount,Yes,A moderate amount,A lot,A great deal,A lot,A little,A moderate amount,Stay,Stay,"Evacuation expense (travel, lodging, etc.),Job obligations",A little,Increased my desire to leave,Yes,Before 2016 (Please specify the year),Hurricane season 2004,Stay,No,32801,22,Female,Caucasian,Some college,"$25,000 to $40,000",3,No,No,No,No,32801,More than 70 miles,Condo/apartment - 4 stories or less,Brick or block,Rent,Yes,Orange,No,,,,No,No,,,No,No,No,Yes,A1WKF2VH7TV0H2,841487
12/7/2017 15:33,12/7/2017 15:38,IP Address,181.64.238.78,100,310,TRUE,12/7/2017 15:38,R_1pxuXok3W0FoebK,,,,,-12.0677948,-77.08860016,anonymous,EN,A lot,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,Yes,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,Yes,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,Evacuate,Evacuate,None,A little,Increased my desire to leave,Yes,Before 2016 (Please specify the year),2005,Evacuate,Yes,33020,41,Male,Hispanic,Graduate school,"$40,000 to $80,000",4,Yes,No,No,No,33020,1 to 10 mile,Condo/apartment - 4 stories or less,Brick or block,Rent,No,Broward,Yes,Voluntary (should),"Radio or TV,Police/authorities came into the neighborhood,Text alerts  or phone calls from officials","September 4th (Monday, became Category 5)",,No,,,No,No,No,Yes,A1TK9TRNGXNO8D,327379
12/7/2017 15:35,12/7/2017 15:38,IP Address,23.112.114.15,100,190,TRUE,12/7/2017 15:38,R_1Oy3noxz5p8CtPX,,,,,28.53109741,-80.85230255,anonymous,EN,A little,A moderate amount,A little,A little,None at all,None at all,Yes,A lot,A little,A moderate amount,A lot,A little,A moderate amount,Yes,A great deal,A lot,A moderate amount,A moderate amount,A moderate amount,A little,Stay,Stay,None,None at all,,Yes,2016,,Stay,Yes,32114,33,Male,African American,College graduate,"$40,000 to $80,000",5,Yes,Yes,Yes,Yes,32114,1 to 10 mile,Detached single family home,Brick or block,Own,No,VOULUSIA,Yes,Voluntary (should),Social media or internet,"September 4th (Monday, became Category 5)",No,No,,,No,No,No,Yes,A1QEQOI98976S0,108562
12/7/2017 15:36,12/7/2017 15:39,IP Address,73.245.212.156,100,194,TRUE,12/7/2017 15:39,R_234cBUxh7EUocI0,,,,,26.5171051,-80.17870331,anonymous,EN,A moderate amount,A little,A moderate amount,A lot,A moderate amount,A moderate amount,Yes,A little,None at all,A little,A moderate amount,A moderate amount,A moderate amount,Yes,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Stay,Stay,Having pets,A little,Increased my desire to leave,Yes,2017 before Irma,,Stay,Yes,33437,26,Female,Caucasian,College graduate,"$25,000 to $40,000",3,No,No,No,Yes,33437,10 to 30 miles,Detached single family home,Brick or block,Own,Yes,Palm Beach,No,,,,Yes,No,,,No,No,No,Yes, A2WJ7XDQDJH2LW,828294
12/7/2017 15:33,12/7/2017 15:40,IP Address,184.1.253.41,100,406,TRUE,12/7/2017 15:40,R_1E5L86OQR336P36,,,,,29.16540527,-82.09670258,anonymous,EN,A lot,A little,A great deal,A great deal,A little,A little,Yes,A lot,A moderate amount,A great deal,A great deal,A little,A great deal,Yes,A lot,A great deal,A lot,A little,A great deal,A great deal,Evacuate,Evacuate,"Having elderly family member(s),Having family member(s) with special needs,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.)",A moderate amount,Increased my desire to leave,Yes,2016,,Stay,Yes,34491,40,Male,Caucasian,College graduate,"$25,000 to $40,000",3,No,Yes,Yes,No,34491,30 to 50 miles,Mobile or manufactured home,Other,Own,Yes,Marion,No,,,,No,Yes,September 11th (Monday),Morning,No,No,No,Yes,AQKC1VIZAZ6VI,791816
12/7/2017 15:35,12/7/2017 15:41,IP Address,68.204.11.187,100,324,TRUE,12/7/2017 15:41,R_tRs3XRuvnyA8BAl,,,,,28.68119812,-81.27629852,anonymous,EN,A moderate amount,A little,A great deal,A great deal,A little,A moderate amount,Yes,A great deal,A little,A great deal,A great deal,A moderate amount,A great deal,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Evacuate,Stay,"Having young children,Having pets,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",A moderate amount,Increased my desire to leave,Yes,2016,,Stay,Yes,32707,32,Female,Caucasian,Some college,"$40,000 to $80,000",5,Yes,No,No,Yes,32792,30 to 50 miles,Detached single family home,Brick or block,Rent,No,seminole,,,,,,No,,,No,No,No,Yes,AK9XE112RZO6Q,420652
12/7/2017 15:37,12/7/2017 15:42,IP Address,24.170.167.100,100,301,TRUE,12/7/2017 15:42,R_3WdxhOznFVagKsx,,,,,28.65809631,-81.08319855,anonymous,EN,A moderate amount,A moderate amount,A moderate amount,A lot,A little,A little,Yes,A great deal,None at all,A moderate amount,A moderate amount,A moderate amount,A little,Yes,None at all,A little,A lot,A lot,A little,A little,Neither,Stay,"Having elderly family member(s),Having pets,Evacuation expense (travel, lodging, etc.)",None at all,,Yes,Before 2016 (Please specify the year),I think it was about 2008 (Matthew),Stay,Yes,32825,53,Female,Caucasian,Graduate school,"Over $80,000",4,Yes,Yes,No,Yes,32825,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,Orange,No,,,,No,No,,,No,No,No,Yes,A295XEF30H0NH5,520661
12/7/2017 15:38,12/7/2017 15:42,IP Address,108.209.32.18,98,243,FALSE,12/8/2017 9:56,R_2zVioarFQSOnXYa,,,,,,,anonymous,EN,A lot,A little,A moderate amount,A moderate amount,A great deal,A great deal,Yes,A lot,A little,A moderate amount,A little,A little,A lot,No,,,,,,,Evacuate,Evacuate,None,A great deal,Increased my desire to leave,Yes,2016,,Evacuate,Yes,32084,29,Male,Caucasian,Graduate school,"$40,000 to $80,000",1,No,No,No,No,32084,Within 1 mile,Detached single family home,Brick or block,Rent,No,St Johns,,,,,No,Yes,September 9th (Saturday),Evening,No,No,No,Yes,A2V5DJN2JNVFL9,460467
12/7/2017 15:37,12/7/2017 15:43,IP Address,68.204.51.74,100,395,TRUE,12/7/2017 15:43,R_1hFpVft2WrkvDVv,,,,,28.53109741,-80.85230255,anonymous,EN,A moderate amount,A little,A lot,A lot,A moderate amount,A moderate amount,Yes,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,No,,,,,,,Evacuate,Evacuate,"Having pets,Evacuation expense (travel, lodging, etc.)",A lot,Increased my desire to leave,Yes,2016,,Evacuate,Yes,32754,72,Male,Caucasian,College graduate,"$40,000 to $80,000",2,No,No,No,Yes,32754,1 to 10 mile,Detached single family home,Brick or block,Rent,Yes,Brevard,Yes,Voluntary (should),"Radio or TV,Text alerts  or phone calls from officials",September 3rd (Sunday),No,Yes,September 2nd (Saturday),Morning,No,No,No,Yes,A1DUH3RLI00YQM,736439
12/7/2017 15:37,12/7/2017 15:43,IP Address,75.74.9.127,100,378,TRUE,12/7/2017 15:43,R_3jVxzhsiEBimn1I,,,,,26.1829071,-80.22380066,anonymous,EN,A moderate amount,A lot,A lot,A great deal,A lot,A lot,Yes,A great deal,A little,A great deal,A great deal,A lot,A great deal,No,,,,,,,Evacuate,Stay,"Having elderly family member(s),Having family member(s) with special needs,Having pets",A little,Decreased my desire to leave,Yes,Before 2016 (Please specify the year),2005,Stay,Yes,33321,67,Female,Caucasian,Some college,"$40,000 to $80,000",2,No,Yes,Yes,Yes,33321,10 to 30 miles,Detached single family home,Brick or block,Own,Yes,broward,No,,,,Yes,No,,,No,No,No,Yes,A1P7SR0R2B60C7,289397
12/7/2017 15:39,12/7/2017 15:43,IP Address,70.127.144.6,100,262,TRUE,12/7/2017 15:43,R_1gqBddbUEVMRmHM,,,,,28.08590698,-82.76249695,anonymous,EN,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,A moderate amount,Yes,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A little,Yes,A moderate amount,A lot,A lot,A lot,A lot,A moderate amount,Evacuate,Stay,"Having young children,Having pets,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.)",A moderate amount,Increased my desire to leave,Yes,2016,,Stay,Yes,34683,19,Female,Caucasian,Some college,"$25,000 to $40,000",5,Yes,No,No,Yes,34683,10 to 30 miles,Detached single family home,Brick or block,Own,Yes,Pinellas,No,,,,Yes,No,,,No,No,Yes,Yes,A3LV6AC2JLCOPQ,269054
12/7/2017 15:36,12/7/2017 15:44,IP Address,173.168.38.151,100,446,TRUE,12/7/2017 15:44,R_28G0j8phMrtJOtv,,,,,27.9098053,-82.78839874,anonymous,EN,A great deal,A little,A great deal,A great deal,A great deal,A great deal,Yes,A lot,A lot,A lot,A moderate amount,A moderate amount,A lot,Yes,A great deal,A great deal,A lot,A little,A lot,A moderate amount,Evacuate,Evacuate,"Having pets,Job obligations",A great deal,Decreased my desire to leave,Yes,Before 2016 (Please specify the year),2004,Stay,No,33709,64,Female,Caucasian,College graduate,"$25,000 to $40,000",6,Yes,No,No,Yes,33709,1 to 10 mile,Detached single family home,Brick or block,Own,Yes,Pinellas,No,,,,Yes,Yes,September 9th (Saturday),Morning,No,No,No,Yes,A1A7KL0CEERE60,403363
