"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","31QTRG6Q2TDEAVS54H2IQV505PXYP8","AXAIIT5OR8AJ3","Approved","Wed Nov 01 19:59:50 PDT 2017","Wed Nov 01 20:08:47 PDT 2017","Mon Nov 06 19:08:47 PST 2017","2017-11-07 03:09:17 UTC","","","537","100% (1/1)","100% (1/1)","100% (1/1)","136784"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","32EYX73OY09I5ZOF789IS5Z2AV3RUC","A2DP3JH66Q96BR","Submitted","Thu Nov 02 21:26:32 PDT 2017","Thu Nov 02 21:30:24 PDT 2017","Tue Nov 07 20:30:24 PST 2017","","","","232","0% (0/0)","0% (0/0)","0% (0/0)","822588"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","32M8BPYGATMM7IK1XGQSAYXKEITGI3","AQ5RHGTE75AJT","Approved","Thu Nov 02 08:07:09 PDT 2017","Thu Nov 02 08:12:22 PDT 2017","Tue Nov 07 07:12:22 PST 2017","2017-11-07 15:13:17 UTC","","","313","100% (1/1)","100% (1/1)","100% (1/1)","902916"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","32Q90QCQ1SLFTZEYROLGNBRLT2CEKW","A3EWUG9YPE9ZYE","Approved","Wed Nov 01 18:45:52 PDT 2017","Wed Nov 01 18:52:54 PDT 2017","Mon Nov 06 17:52:54 PST 2017","2017-11-07 01:53:17 UTC","","","422","100% (1/1)","100% (1/1)","100% (1/1)","952931"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","32VNZTT0A74JO1U0S2I0F118C1YR4B","A223AK6FEQWJ9U","Submitted","Mon Nov 06 00:37:30 PST 2017","Mon Nov 06 00:41:05 PST 2017","Sat Nov 11 00:41:05 PST 2017","","","","215","0% (0/0)","0% (0/0)","0% (0/0)","145119"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","32Z9ZLUT1LKA30QFFHLFFV575LCHOT","ADKBTSKPX195Q","Approved","Wed Nov 01 12:21:57 PDT 2017","Wed Nov 01 12:26:47 PDT 2017","Mon Nov 06 11:26:47 PST 2017","2017-11-06 19:27:20 UTC","","","290","100% (1/1)","100% (1/1)","100% (1/1)","533279"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","32Z9ZLUT1LKA30QFFHLFFV575M6HOP","A3P3361LWC96EK","Approved","Wed Nov 01 14:53:45 PDT 2017","Wed Nov 01 14:57:01 PDT 2017","Mon Nov 06 13:57:01 PST 2017","2017-11-06 21:57:17 UTC","","","196","100% (1/1)","100% (1/1)","100% (1/1)","351878"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","33F859I566DQK616BCGT9B58ZB0HBB","ANNGFP595DBCO","Submitted","Fri Nov 03 17:10:49 PDT 2017","Fri Nov 03 17:17:57 PDT 2017","Wed Nov 08 16:17:57 PST 2017","","","","428","0% (0/0)","0% (0/0)","0% (0/0)","650346"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","33LKR6A5KEKFCHA9994THIVNN4W1TZ","ABRQODWAYIGS8","Approved","Wed Nov 01 12:15:05 PDT 2017","Wed Nov 01 12:17:24 PDT 2017","Mon Nov 06 11:17:24 PST 2017","2017-11-06 19:18:17 UTC","","","139","100% (1/1)","100% (1/1)","100% (1/1)","507359"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","33LKR6A5KEKFCHA9994THIVNN6Y1T5","A35AOFAPRPADTL","Approved","Wed Nov 01 18:38:15 PDT 2017","Wed Nov 01 18:41:18 PDT 2017","Mon Nov 06 17:41:18 PST 2017","2017-11-07 01:41:19 UTC","","","183","100% (1/1)","100% (1/1)","100% (1/1)","919152"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","33PPUNGG385ZRYIPDV8Q9XEHC8GZRX","A1XV3WQ8OY7VVW","Approved","Thu Nov 02 13:38:23 PDT 2017","Thu Nov 02 13:40:44 PDT 2017","Tue Nov 07 12:40:44 PST 2017","2017-11-07 20:41:17 UTC","","","141","100% (1/1)","100% (1/1)","100% (1/1)","870880"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","345LHZDEDXSQMX3DWI8MA7WM449U37","AXE0P7KYOCPR7","Approved","Wed Nov 01 17:33:11 PDT 2017","Wed Nov 01 17:37:07 PDT 2017","Mon Nov 06 16:37:07 PST 2017","2017-11-07 00:37:18 UTC","","","236","100% (1/1)","100% (1/1)","100% (1/1)","581648"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","34J10VATJFYDK7EF0CV44C1MLXUQIL","AA71PEW7VTREB","Submitted","Sun Nov 05 23:46:14 PST 2017","Sun Nov 05 23:53:50 PST 2017","Fri Nov 10 23:53:50 PST 2017","","","","456","0% (0/0)","0% (0/0)","0% (0/0)","131451"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","34MAJL3QP4NR5Z9YHCH4X3YS5SH34R","A1KZ848UGQUXXO","Approved","Wed Nov 01 21:15:42 PDT 2017","Wed Nov 01 21:21:22 PDT 2017","Mon Nov 06 20:21:22 PST 2017","2017-11-07 04:22:17 UTC","","","340","100% (1/1)","100% (1/1)","100% (1/1)","777145"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","34PGFRQONOBEZFU7U3FA82Y8MFPWJ0","AYDA5CKXPDL54","Submitted","Mon Nov 06 13:45:11 PST 2017","Mon Nov 06 13:50:54 PST 2017","Sat Nov 11 13:50:54 PST 2017","","","","343","0% (0/0)","0% (0/0)","0% (0/0)","538433"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","34Q075JO1XDEW8DIB7GJX7TIQUM01B","A1CKP36D1MKIYW","Approved","Wed Nov 01 14:12:02 PDT 2017","Wed Nov 01 14:14:44 PDT 2017","Mon Nov 06 13:14:44 PST 2017","2017-11-06 21:15:17 UTC","","","162","100% (1/1)","100% (1/1)","100% (1/1)","643318"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","34X6J5FLPTY9FIYLIUG4GDGMXK7JQT","AB7EGJK68X9P3","Approved","Thu Nov 02 08:44:36 PDT 2017","Thu Nov 02 08:50:10 PDT 2017","Tue Nov 07 07:50:10 PST 2017","2017-11-07 15:50:17 UTC","","","334","100% (1/1)","100% (1/1)","100% (1/1)","657005"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","35BLDD71I6XRK5Z6MFD0AU3KX6DZVU","AUG9SHX7VWH7Z","Approved","Wed Nov 01 17:14:52 PDT 2017","Wed Nov 01 17:20:06 PDT 2017","Mon Nov 06 16:20:06 PST 2017","2017-11-07 00:20:18 UTC","","","314","100% (1/1)","100% (1/1)","100% (1/1)","706727"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","35GMH2SV3EHYJQZDPGD9US8UDBZEO1","A3GYZUEA1JUZ6V","Approved","Thu Nov 02 07:36:21 PDT 2017","Thu Nov 02 07:40:51 PDT 2017","Tue Nov 07 06:40:51 PST 2017","2017-11-07 14:41:17 UTC","","","270","100% (1/1)","100% (1/1)","100% (1/1)","967611"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","35LDD5557A4D5N6B8M9Z0JWU25JKM9","A1YROKOZYQJF89","Approved","Wed Nov 01 20:43:02 PDT 2017","Wed Nov 01 20:50:33 PDT 2017","Mon Nov 06 19:50:33 PST 2017","2017-11-07 03:51:17 UTC","","","451","100% (1/1)","100% (1/1)","100% (1/1)","345791"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","35USIKEBNRGCOQ6MIJUY3FGC7RV6NV","A82G1ZXDVKZ95","Submitted","Sat Nov 04 14:57:49 PDT 2017","Sat Nov 04 15:01:35 PDT 2017","Thu Nov 09 14:01:35 PST 2017","","","","226","0% (0/0)","0% (0/0)","0% (0/0)","531230"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","35USIKEBNRGCOQ6MIJUY3FGC7V16N9","AGCWXX1MYHP75","Submitted","Mon Nov 06 05:43:44 PST 2017","Mon Nov 06 05:48:58 PST 2017","Sat Nov 11 05:48:58 PST 2017","","","","314","0% (0/0)","0% (0/0)","0% (0/0)","765356"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","3634BBTX0OUGTIO6MWKASDX8EVVIFT","A1NJ0J3SCP668A","Submitted","Mon Nov 06 02:25:27 PST 2017","Mon Nov 06 02:28:51 PST 2017","Sat Nov 11 02:28:51 PST 2017","","","","204","100% (1/1)","100% (1/1)","100% (1/1)","604412"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","36DSNE9QZ5Y6U6L53HO0R8LMJ94OJM","AWED9U58T0MGU","Submitted","Sun Nov 05 09:03:12 PST 2017","Sun Nov 05 09:06:32 PST 2017","Fri Nov 10 09:06:32 PST 2017","","","","200","0% (0/0)","0% (0/0)","0% (0/0)","802694"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","36V4Q8R5ZK0ZGQ46LRTWW5832ZLMQQ","A2AK31IWMSJZ3P","Submitted","Fri Nov 03 19:59:35 PDT 2017","Fri Nov 03 20:08:09 PDT 2017","Wed Nov 08 19:08:09 PST 2017","","","","514","0% (0/0)","0% (0/0)","0% (0/0)","992609"
